Gene id	miRNA
4222	hsa-miR-16-5p
4222	hsa-miR-133a-3p
79657	hsa-miR-125b-2-3p
79657	hsa-miR-342-3p
79657	hsa-miR-503-5p
79657	hsa-miR-155-5p
79657	hsa-miR-16-5p
6296	hsa-miR-202-5p
57019	hsa-miR-1-3p
80256	hsa-let-7b-5p
80256	hsa-miR-155-5p
80256	hsa-miR-16-5p
1387	hsa-let-7a-3p
1387	hsa-let-7d-5p
1387	hsa-let-7f-1-3p
1387	hsa-let-7f-2-3p
1387	hsa-miR-16-1-3p
1387	hsa-miR-330-3p
1387	hsa-miR-338-5p
1387	hsa-miR-576-3p
1387	hsa-miR-744-5p
84058	hsa-miR-1-3p
54677	hsa-let-7b-3p
55904	hsa-miR-146b-5p
55904	hsa-miR-450b-5p
55904	hsa-miR-579-3p
55904	hsa-miR-580-3p
55904	hsa-miR-589-5p
55904	hsa-miR-9-3p
55904	hsa-miR-1-3p
57414	hsa-miR-29b-1-5p
25998	hsa-miR-361-3p
25998	hsa-miR-545-5p
7748	hsa-miR-16-5p
23077	hsa-let-7f-2-3p
23077	hsa-miR-28-3p
23077	hsa-miR-29a-3p
23077	hsa-miR-29b-3p
23077	hsa-miR-29c-3p
23077	hsa-miR-423-5p
26224	hsa-miR-33b-3p
26224	hsa-miR-340-5p
5164	hsa-let-7b-5p
3675	hsa-let-7a-3p
3675	hsa-let-7b-3p
3675	hsa-let-7f-1-3p
3675	hsa-miR-124-3p
3675	hsa-let-7b-5p
3675	hsa-miR-155-5p
3675	hsa-miR-16-5p
3675	hsa-miR-133a-3p
7543	hsa-miR-494-3p
7543	hsa-miR-16-5p
3920	hsa-miR-16-1-3p
3920	hsa-miR-183-5p
3920	hsa-miR-193a-3p
3920	hsa-miR-193b-3p
3920	hsa-miR-203a-3p
3920	hsa-miR-331-5p
3920	hsa-miR-365a-3p
3920	hsa-miR-545-3p
3920	hsa-miR-7-5p
3920	hsa-miR-494-3p
3920	hsa-miR-503-5p
3920	hsa-let-7b-5p
3920	hsa-miR-1-3p
3920	hsa-miR-155-5p
3920	hsa-miR-16-5p
51573	hsa-miR-579-3p
55049	hsa-miR-1-3p
55049	hsa-let-7b-5p
9244	hsa-miR-1-3p
26022	hsa-miR-16-5p
9020	hsa-miR-23b-3p
9020	hsa-miR-103a-3p
9020	hsa-miR-503-5p
54972	hsa-miR-603
163	hsa-miR-30b-3p
163	hsa-miR-340-5p
163	hsa-miR-7-1-3p
10127	hsa-miR-23a-3p
10127	hsa-miR-23b-3p
64847	hsa-let-7b-5p
51330	hsa-miR-155-5p
51330	hsa-miR-16-5p
5898	hsa-miR-141-5p
5898	hsa-miR-494-3p
5898	hsa-miR-503-5p
55971	hsa-miR-1-3p
2115	hsa-miR-106a-5p
2115	hsa-miR-106b-5p
2115	hsa-miR-17-5p
2115	hsa-miR-18a-3p
2115	hsa-miR-20a-5p
2115	hsa-miR-20b-5p
2115	hsa-miR-324-3p
2115	hsa-miR-452-5p
2115	hsa-miR-582-5p
2115	hsa-miR-660-5p
2115	hsa-miR-93-5p
2115	hsa-miR-155-5p
55750	hsa-miR-16-5p
221	hsa-miR-328-3p
221	hsa-miR-1-3p
221	hsa-miR-603
57157	hsa-miR-106a-5p
57157	hsa-miR-124-3p
57157	hsa-miR-141-3p
57157	hsa-miR-146b-5p
57157	hsa-miR-181a-5p
57157	hsa-miR-181c-5p
57157	hsa-miR-199a-5p
57157	hsa-miR-19a-3p
57157	hsa-miR-19a-5p
57157	hsa-miR-19b-3p
57157	hsa-miR-200a-3p
57157	hsa-miR-26a-5p
57157	hsa-miR-26b-5p
57157	hsa-miR-340-5p
57157	hsa-miR-421
57157	hsa-miR-550a-3p
9855	hsa-miR-103a-3p
9855	hsa-miR-107
9855	hsa-miR-424-5p
79017	hsa-miR-221-3p
79017	hsa-miR-222-3p
79017	hsa-miR-1-3p
10926	hsa-let-7a-5p
10926	hsa-miR-19a-3p
10926	hsa-miR-19b-3p
10926	hsa-miR-30a-5p
3475	hsa-miR-103a-3p
3475	hsa-miR-16-5p
1352	hsa-miR-1-3p
54623	hsa-miR-1-3p
27072	hsa-miR-25-3p
27072	hsa-miR-92a-3p
27072	hsa-miR-92b-3p
27072	hsa-miR-494-3p
27072	hsa-miR-503-5p
27072	hsa-miR-1-3p
9912	hsa-let-7b-5p
85477	hsa-miR-148b-3p
79602	hsa-miR-106a-5p
79602	hsa-miR-19a-3p
79602	hsa-miR-19b-3p
79602	hsa-miR-218-5p
79602	hsa-miR-22-3p
79602	hsa-miR-31-3p
79602	hsa-miR-365a-3p
79602	hsa-miR-760
79602	hsa-miR-494-3p
10942	hsa-miR-365a-3p
10942	hsa-miR-1-3p
57787	hsa-let-7b-5p
57787	hsa-miR-155-5p
115098	hsa-miR-603
5048	hsa-miR-100-3p
5048	hsa-miR-128-3p
5048	hsa-miR-141-5p
5048	hsa-miR-15a-5p
5048	hsa-miR-15b-5p
5048	hsa-miR-16-5p
5048	hsa-miR-185-5p
5048	hsa-miR-193a-3p
5048	hsa-miR-21-5p
5048	hsa-miR-27a-3p
5048	hsa-miR-338-5p
5048	hsa-miR-424-3p
5048	hsa-miR-424-5p
5048	hsa-miR-532-5p
5048	hsa-miR-629-5p
5048	hsa-miR-191-5p
113000	hsa-let-7b-5p
113000	hsa-miR-16-5p
55692	hsa-miR-1-3p
115939	hsa-miR-940
115939	hsa-miR-603
9091	hsa-miR-149-5p
9091	hsa-miR-199a-3p
7005	hsa-let-7b-5p
55735	hsa-miR-542-3p
29116	hsa-miR-105-5p
29116	hsa-miR-106b-5p
29116	hsa-miR-194-3p
29116	hsa-miR-194-5p
29116	hsa-miR-20a-5p
29116	hsa-miR-365a-3p
