geneID	HeLa
1	0.197987263
10	0.021725288
100	3.321924128
1000	6.28348532
10000	0.204684927
100008589	0.077487255
100009676	1.910512563
10001	4.277365533
10002	0.060257971
10003	0.292881871
100033413	2.205975792
100033414	1.288086548
100033415	0.497751626
100033416	4.704879506
100033417	0.270236661
100033418	1.279367187
100033419	0.497751626
100033420	0.270236661
100033421	0.270236661
100033424	1.64422683
100033425	0.887775714
100033426	1.31502247
100033428	0.511124492
100033429	0.278080282
100033430	1.044674916
100033431	1.433302596
100033432	1.828210543
100033433	1.828210543
100033434	1.828210543
100033435	1.31502247
100033438	0.493449662
100033439	0.511124492
100033819	5.22521937
100033820	1.443038388
100033821	0.304614767
100037417	4.845769799
10004	0.142889794
100048912	1.853733926
100049076	0.056095027
100049587	0.013579394
100049716	2.447729424
10005	4.215402995
10006	3.567285981
10007	4.625767095
10009	3.215484499
100093630	5.216769261
100093631	0.008322423
1001	0.212741591
10010	3.015406295
100101266	0.045225848
100101267	1.844091192
100101467	1.068905198
100101490	3.166511203
10011	4.805944532
100113378	1.717941517
100113379	0.286394376
100113380	3.188703166
100113381	4.20195956
100113382	0.520450621
100113385	3.29418111
100113386	1.971221525
100113389	1.253946344
100113390	1.883604527
100113391	0.265249544
100113392	0.919971579
100113393	3.253419629
100113407	0.352988393
100124412	0.025289194
100124516	4.086277487
100124533	1.537594156
100124534	2.001764196
100124536	0.381577833
100124700	1.079615297
100125288	0.403758826
100125556	1.445271063
100126270	1.493644727
100126296	0.295222731
100126299	0.48506709
100126311	0.321676289
100126314	2.717325456
100126317	1.414250459
100126321	3.710195658
100126325	0.525243907
100126328	1.433302596
100126329	0.227483568
100126330	0.227483568
100126331	0.763042346
100126332	4.632791268
100126338	6.609692406
100126345	0.325321522
100126346	0.590613786
100126350	0.603147714
100126351	6.163297159
100126355	0.545344626
100126693	1.349649545
100126784	1.355296561
100126791	0.201812108
100126793	0.343789643
100127888	2.965440103
100127889	0.32754876
100127891	0.673902964
100127909	0.055986075
100127910	0.037985137
100127961	0.03993201
100127974	4.684498889
100127983	3.304676371
100128025	0.190366155
100128028	0.153570424
100128054	0.761638767
100128055	4.789966156
100128064	0.475775595
100128071	1.363060852
100128076	0.014257706
100128077	2.867170018
100128081	1.107534113
100128098	0.238024414
100128105	3.111890119
100128126	0.041226469
100128130	0.887937885
100128155	0.124840673
100128164	0.016352339
100128176	0.298934849
100128191	4.425053274
100128242	1.991785761
100128262	0.643843111
100128276	0.026868397
100128278	0.017621782
100128285	0.076896582
100128288	0.28199532
100128292	0.237572969
100128300	0.016630624
100128338	1.361595602
100128340	0.032429943
100128342	0.050026687
100128343	0.337687181
100128361	1.80811346
100128364	0.025867851
100128366	0.044287823
100128371	0.111366827
100128374	0.009683881
100128378	0.028366578
100128385	0.009896643
100128416	0.296492276
100128482	0.03991358
100128508	0.057868726
100128511	0.159150777
100128531	0.193783519
100128542	0.05813131
100128563	0.017600265
100128569	5.394615815
100128573	0.105844315
100128574	3.974486969
100128593	0.010630142
100128640	0.152049005
100128644	0.479636599
100128653	2.389627166
100128675	0.006230564
100128726	0.025302512
100128731	6.987388484
100128737	1.599537797
100128750	1.753795055
100128770	0.02798111
100128782	0.823053233
100128788	1.090658633
100128816	0.016908622
100128818	0.041246132
100128822	0.88216994
100128840	0.301893341
100128881	3.899006317
100128893	0.209718985
100128908	0.090333371
100128927	1.250388029
100128979	2.77697831
100128988	0.028629512
100128997	2.529216219
100128998	0.038543815
100129033	0.475643576
100129034	5.03713134
100129046	2.651563266
100129055	0.010351503
100129060	3.312848553
100129075	0.852937051
100129094	0.111798928
100129098	0.022926067
100129104	1.368492196
100129119	0.055877546
100129128	0.130147698
100129148	6.661913554
100129195	1.152436743
100129196	0.454605689
100129203	0.439114966
100129215	0.298184949
100129216	0.728315378
100129233	0.01536734
100129250	2.646756976
100129268	1.862683585
100129269	0.09057469
100129316	0.005481804
100129354	0.259972651
100129361	4.16510296
100129387	2.615227079
100129405	2.789522843
100129413	2.280333464
100129424	0.378025466
100129434	0.178559209
100129460	0.959806906
100129473	0.140061087
100129480	0.564901198
100129482	1.302936875
100129484	0.214601203
100129502	3.175325561
100129503	0.226290692
100129515	0.430603762
100129516	0.049285395
100129518	3.40383744
100129534	0.278980081
100129550	0.438698106
100129583	0.04072174
100129596	0.121974449
100129617	0.12898233
100129654	0.034875521
100129697	0.036915003
100129716	0.442968265
100129722	0.248486833
100129726	0.101495005
100129781	1.970005874
100129792	2.929216281
100129794	0.614389444
100129831	0.029752326
100129845	0.333218031
100129885	0.337763614
100129917	1.255213009
100129924	0.191937653
100129931	3.399143598
100129935	0.015659501
100129960	0.151534741
100129961	0.738513062
100129999	0.061250318
10013	3.581782969
100130000	0.032930053
100130009	0.487432631
100130015	2.464282849
100130027	0.671368667
100130071	0.238531993
100130086	0.014589623
100130093	3.444009041
100130097	0.120823559
100130100	0.049201273
100130111	0.288138048
100130156	0.063651113
100130171	0.148586497
100130172	1.363802207
100130197	2.971467816
100130219	0.782485568
100130238	0.007416735
100130249	0.011776546
100130274	0.021676281
100130275	2.805643177
100130285	0.080437635
100130311	0.412147554
100130331	0.197837072
100130342	0.039092647
100130348	0.708731619
100130357	0.142780181
100130370	0.068818112
100130386	0.011135173
100130417	4.269816918
100130418	0.692203828
100130428	0.543428388
100130449	0.199883949
100130451	0.033024364
100130452	0.055769437
100130476	0.312722906
100130502	0.100073401
100130507	0.036971817
100130519	0.014860364
100130522	0.214642704
100130547	3.013155947
100130548	0.556085684
100130557	1.796709437
100130581	0.949510057
100130589	0.021104993
100130691	0.356370248
100130698	0.013006556
100130705	0.066660646
100130717	0.213633475
100130733	0.099067115
100130742	0.554071069
100130746	0.233281212
100130771	3.271628903
100130776	2.634066095
100130800	0.069987832
100130827	0.191209129
100130855	2.542846163
100130856	0.801981369
100130872	0.194620588
100130880	0.049117437
100130887	0.944509366
100130889	1.055415187
100130890	1.104636913
100130894	1.396740163
100130921	1.645574861
100130932	1.630717593
100130933	0.225194193
100130950	0.559856856
100130958	2.165469147
100130967	1.211302273
100130987	1.650446599
100130992	0.175781982
100131035	2.518034894
100131060	0.169357157
100131067	1.458405354
100131089	0.463817974
100131091	1.939690185
100131094	2.624438261
100131096	0.053245539
100131117	0.203036662
100131131	0.018527815
100131132	1.170897085
100131176	0.139214976
100131187	3.543413995
100131193	1.956417588
100131205	0.1905762
100131208	0.112416844
100131211	1.770605372
100131213	1.377254967
100131234	0.092433943
100131244	0.097516648
100131262	2.757355788
100131275	0.013967572
100131316	4.500576628
100131320	0.011671652
100131347	0.084995627
100131354	1.073577446
100131372	0.006198413
100131373	0.34757762
100131378	1.074815971
100131381	0.060069607
100131390	0.019678731
100131395	0.11186093
100131434	0.587819747
100131454	0.385205427
100131496	0.598765159
100131530	0.052138002
100131539	0.062478382
100131551	0.083613947
100131561	0.178190848
100131564	0.686554758
100131607	3.805234804
100131635	0.082866008
100131655	0.404948138
100131679	0.454615972
100131691	1.807245863
100131726	0.697079075
100131733	0.652690675
100131735	6.282396313
100131744	0.02949359
100131755	0.673461114
100131774	5.661322753
100131801	4.120678445
100131814	0.118359591
100131826	0.100667703
100131827	0.528970027
100131897	1.356189189
100131997	0.045356307
100131998	1.201022763
100132062	0.006581925
100132074	1.531744379
100132077	0.052374833
100132080	0.744796883
100132101	0.079483759
100132111	0.920507776
100132163	2.711650771
100132183	0.16673241
100132215	1.735102578
100132234	0.284691893
100132240	0.265249544
100132247	0.051923337
100132249	0.029283868
100132272	0.70222344
100132273	0.665451503
100132287	0.077067929
100132288	0.220087855
100132339	0.050186366
100132341	2.079987635
100132352	0.949786885
100132356	1.378979176
100132406	0.416170902
100132463	0.276171613
100132481	0.022024045
100132594	0.01335915
100132618	3.853662572
100132677	0.075515055
100132707	2.307859356
100132724	0.113338061
100132731	0.084900243
100132774	2.874797125
100132815	0.591227925
100132832	0.095655448
100132891	0.155538776
100132909	1.492358083
100132911	1.94959781
100132913	0.098209005
100132916	0.114577452
100132929	0.083587002
100132948	0.191718513
100132999	0.264977889
100133039	0.63024182
100133050	0.079991139
100133077	0.00891983
100133091	1.63822371
100133106	0.058723452
100133121	0.040436133
100133124	0.114010747
100133140	0.430093852
100133144	0.069537565
100133161	0.03700979
100133171	0.117978797
100133190	2.075670252
100133204	0.687578393
100133205	0.218624619
100133234	0.0554032
100133286	5.611352563
100133299	0.207558203
100133311	1.706154273
100133315	1.52500542
100133331	0.104099753
100133445	0.542512437
100133461	0.027641271
100133545	0.102275488
100133612	0.180250351
100133669	0.040492933
100133941	5.652103238
100133957	4.591709338
100133985	0.953938856
100133991	2.061754744
100134015	0.451616734
100134091	2.97678607
100134216	0.505689163
100134229	0.203048904
100134240	0.075486801
100134259	0.338261278
100134361	0.385085825
100134365	0.723587423
100134368	0.106104138
100134444	3.27938346
100134663	0.020651429
100134713	4.119466072
100134822	0.553827747
100134868	0.715915898
100134869	0.137799829
100134934	3.592583447
100134938	1.844338139
100137047	2.992034233
100137049	2.092845485
10014	2.669126431
100144596	0.016389526
100144602	2.09648534
100144603	0.919104819
100144748	0.684704097
100147744	5.017972949
100147773	0.283069335
10015	4.785708095
100151683	0.547090186
100158262	0.487432631
10016	7.921202421
100169851	0.021418602
10017	0.29311428
100170217	0.222212564
100170224	0.222212564
100170228	0.223942158
100170229	2.849616872
100170765	0.030156941
100170841	1.749233314
100170939	0.498787092
10018	1.681089917
100187716	0.769997127
100188847	1.221672858
100188893	7.276006104
100188947	0.17764115
100188949	0.018029553
100188954	2.984061973
100189589	0.397132011
10019	1.17897383
100190938	0.126453596
100190939	0.749255877
100190986	0.011704824
100191040	0.316110904
100192378	0.016761159
100192386	0.011278939
100192420	0.01206739
1002	0.115133388
10020	3.522675414
100216001	0.020533752
100216545	0.842979795
100216546	0.516688415
10023	0.363377559
100233156	0.167806288
100233209	0.034159203
10024	4.667361816
100240735	0.031508353
10025	3.762828959
10026	3.823940138
100268168	1.422348313
100270710	4.068814484
100270746	0.327486479
100270804	0.224559062
100271715	0.850560897
100271722	1.433161519
100271831	2.586834804
100271832	0.020563046
100271836	0.560367528
100271846	0.023045193
100271849	0.824733565
100271874	0.686157088
100271927	0.277754525
100272147	3.409767841
100272217	0.323691227
100272228	0.454715333
100286793	0.223074002
100286844	1.31142545
100286925	1.062120711
100286938	2.206877832
100286979	0.079178059
100286988	3.678204961
100287015	1.459936441
100287036	0.448717665
100287042	2.616408001
100287049	4.083263785
100287063	1.578024555
100287082	0.259269342
100287119	0.022091554
100287163	0.559378001
100287171	0.091214932
100287175	0.039119172
100287177	2.405263226
100287195	0.052903513
100287216	0.070501405
100287223	5.227511655
100287227	0.892590875
100287284	0.026090259
100287290	1.034105033
100287301	0.026880924
100287313	0.573542238
100287314	2.423734218
100287329	0.287828795
100287333	0.081923817
100287362	0.02900397
100287366	0.008621078
100287367	0.427736729
100287375	0.055235107
100287387	0.363822403
100287415	1.800875775
100287428	0.050230092
100287437	0.223942158
100287482	1.687187511
100287493	0.160779701
100287497	0.204606972
100287506	2.276237468
100287515	0.04683506
100287558	0.683051192
100287559	2.079958317
100287562	7.247316711
100287569	0.163055517
100287598	0.0698183
100287616	1.481135711
100287623	0.228567982
100287628	1.434915354
100287651	0.012283342
100287705	0.132950607
100287722	3.191549412
100287765	1.634554447
100287789	3.97652659
100287803	8.178065254
100287808	0.866019365
100287813	0.410909934
100287837	2.035812817
100287865	0.135706303
100287879	0.013477817
100287896	1.010172457
100287902	1.754001322
100287922	0.0600227
100287932	5.027517805
100287934	0.047498749
100287944	1.307420331
100288069	0.789736028
100288079	0.083952226
100288092	0.814724748
100288102	0.651020166
100288122	0.039386416
100288123	1.780744715
100288152	1.57821583
100288160	0.068982815
100288162	0.794927562
100288181	4.584685857
100288198	3.754702864
100288310	0.073186658
100288332	0.503559053
100288336	1.200514704
100288366	9.692242439
100288368	0.951170596
100288413	0.295848669
100288428	0.026608003
100288432	0.674907094
100288449	0.439626196
100288594	0.710303714
100288615	0.642556112
100288619	0.015205233
100288637	1.885366232
100288646	0.059820279
100288712	0.615491322
100288730	1.109879623
100288778	1.18683418
100288781	3.908530662
100288798	1.089187527
100288822	0.357770808
100288842	1.955733898
100288846	0.436047393
100288866	0.113471962
100288911	2.083177956
100288963	2.481166019
100288974	0.034819355
100288997	3.827557777
100289019	1.913406199
100289026	0.241681639
100289065	0.072088374
100289090	0.103935485
100289092	2.635252556
100289097	3.268173942
100289098	1.414250459
100289104	7.246117909
100289130	8.640406331
100289137	1.781106219
100289151	0.193783519
100289178	0.75254326
100289187	0.279658772
100289196	0.187473468
100289200	0.035993173
100289230	0.777082933
100289251	4.244633442
100289274	0.555990437
100289298	0.227184169
100289341	1.454140809
100289361	0.874948484
100289373	0.710575484
100289379	0.695901683
100289388	2.046223922
100289396	6.433157922
100289455	0.400487058
100289488	2.824385493
100289495	0.029209688
100289509	0.433183379
100289511	4.730109367
100289561	2.251665792
100289580	4.480259378
100289627	9.790504343
100289635	0.861792684
100289678	2.391683341
100290566	3.204177454
100291105	1.577865811
100291689	0.291373149
100292082	1.361092703
100292409	7.356280086
100292680	0.522396343
100293044	0.740380257
100293516	2.507041421
100293534	0.077558747
100293704	1.291211041
100293744	4.927342819
100293748	0.081460712
100293962	0.095942061
100294020	0.023306025
100294033	0.500871133
100294145	2.429324824
100294307	4.832174858
100294336	0.043617699
100294338	0.110654039
100294341	0.120697022
100294360	0.230214169
