EntrezID	hsa-let-7b-5p	hsa-let-7c-5p	hsa-miR-1-3p	hsa-miR-101-3p	hsa-miR-103a-3p	hsa-miR-106b-5p	hsa-miR-141-3p	hsa-miR-155-5p	hsa-miR-15a-5p	hsa-miR-16-5p	hsa-miR-17-5p	hsa-miR-18a-5p	hsa-miR-192-5p	hsa-miR-193b-3p	hsa-miR-200a-3p	hsa-miR-200c-3p	hsa-miR-206	hsa-miR-20a-5p	hsa-miR-215-5p	hsa-miR-26b-5p	hsa-miR-302c-3p	hsa-miR-30a-5p	hsa-miR-98-5p
1610	-0.001210511	-0.11465	0.058500723	0	-0.06915	0.023725	0.00445	0.000430144	0.04775	-4.88E-03	-0.047	0.051259736	0.02875	0.047175598	-0.0146	0.15020801	0.004481906	0.02665	-0.00765	0	0.083101345	-0.00073533	0.097353953
1611	-0.086473788	0.0579	-0.004193743	0.036105228	0.038	-0.044192862	0.08255	-0.169295099	0.11355	1.57E-01	0.0049	0.17695465	0.0523	0.01104463	0.079	-0.330412625	-0.3739093	-0.01785	0.0361	0.084780609	0.173961085	0.06380218	0.344521341
1612	-0.902078356	-0.06935	-0.431685125	-4.44E-16	-0.0288	0.073775	-0.1245	-1.919038112	0.02655	-3.13E-01	0.01795	0.00040331	-0.03295	0.01995137	-0.0815	-0.266698657	0.037106972	0.05315	-0.0787	0	-0.051385111	0.067055119	-0.021506501
1613	-1.265885528	0.0092	-0.223167111	-0.253880603	-0.0198	0.079547556	0.0119	-1.7984702	-0.12045	-2.47E-01	0.0486	0.002602613	0.0767	0.04115025	-0.0055	0.68541929	-0.116905618	0.0418	0.05835	-0.335880031	0.253254936	0.430304184	0.249568448
1615	-0.239148698	0.02275	0.11700504	0.254512712	0.0092	-0.00685	-0.0756	-0.114479038	-0.0113	-3.12E-01	-0.08635	-0.00562089	-0.1317	0.069612835	-0.0548	-1.013245706	0.12307019	-0.08545	-0.0251	NA	0.06842628	-0.102916174	-0.185121805
1616	NA	0.03865	NA	NA	0.0594	-0.08156543	0.0316	NA	0.07645	1.05E-01	0.06485	-0.021809759	0.0749	-0.110322663	-0.01385	-0.6259594	-0.259717228	0.08175	0.0754	-0.286090316	0.234849027	NA	-0.049439319
1618	8.88E-16	0.0218	8.88E-16	0	0.03005	-0.01155	-0.0286	0.026015663	-0.02445	-1.92E-03	0.01685	0.019282789	0.0247	-0.000412694	0.01365	-0.01713142	-0.038609588	0.00015	0.00505	0	0.107229228	8.88E-16	-0.016450947
1620	8.88E-16	-0.1187	8.88E-16	0	-0.03905	-0.031	-0.0212	0.036708952	-0.0772	-1.31E-02	0.06345	-0.106899867	0.0676	-0.057630945	-0.00935	NA	-0.083033923	0.0205	-0.0299	0	0.017075914	8.88E-16	0
1621	0.008221083	-0.0075	0.008221083	0.124287594	0.0237	0.002685976	0.0337	0.008221083	0.0247	1.91E-02	0.0049	0.003913544	0.02975	0.002118356	0.0128	NA	0.007933544	0.01795	-0.00125	0	-0.024240366	0.008221083	0
1622	NA	-0.0007	NA	NA	-0.11165	0.0377	-0.01755	NA	0.03575	5.62E-02	0.0572	0.06540452	0.0341	0.052605855	-0.0145	1.467545978	0.03801733	0.0465	-0.0036	NA	0.206193915	NA	-0.059735642
1627	-1.089676443	-0.01475	-0.559905568	-0.226424983	-0.0109	-0.051638813	-0.0032	-0.713243722	0.07885	-4.86E-02	0.01145	-0.125039934	-0.0079	0.096474562	0.01095	-1.400349523	-0.059224048	0.01545	-0.0248	-0.203656698	0.020407885	-0.331941656	0.196532019
1628	0.048724287	0.00445	-0.003607975	-0.161420638	-0.00455	0.00375	0.009	-0.003607975	0.00855	1.02E+00	0.03035	0.188168292	0.0614	0.005928681	-0.0055	0.654747838	-0.165857147	0.0213	0.05575	NA	0.190711177	-0.003607975	0.550164132
1629	1.281964134	0.02685	-0.391119009	0.079755407	0.07195	0.006646292	-0.00435	0.318251199	0.02595	2.27E-01	-0.00465	0.015171478	-0.23385	0.109354303	0.00445	-1.14037143	0.308361661	-0.00105	-0.12765	-0.193682041	-0.013017322	0.201507385	0.17451712
1630	8.88E-16	-0.00455	8.88E-16	0	-0.0241	-0.0037	0.0118	8.88E-16	-0.03315	-1.85E-03	0.00135	0.046456839	0.00095	0.038003369	-0.0375	NA	0.01552357	0.0072	0.0017	0	0.078708788	0.000556218	0
1632	0.507924868	-0.01345	0.118641485	-0.116717626	0.04165	-0.005020508	0.03955	0.725061878	0.0585	7.45E-01	0.11205	0.183957115	0.15335	0.060261145	0.0099	1.081534163	0.1734961	0.09425	0.07025	0.101093581	-0.01179981	0.173677951	0.218338317
1633	0.046853575	0.01005	-0.36767144	0.234818907	-0.0994	-0.370133144	-0.0979	-1.165970821	-0.1914	-8.85E-02	-0.273	-0.040124367	-0.23735	-0.076867819	-0.04915	-0.181396451	0.05532558	-0.18645	-0.28715	0.677639551	-0.372960394	0.399081097	0.237333869
1634	-0.087650276	-0.0094	0.117073848	0.006810422	-0.07255	0.00985	-0.0161	-0.275025808	-0.039	-8.19E-02	0.0013	-0.015405417	-0.12715	-0.018732813	-0.03855	NA	-0.012269039	-0.0087	-0.04235	0	0.018724712	-0.087650276	0
1635	-0.121931842	0.062	-0.003142937	-0.156510345	-0.02975	-0.107314067	0.03465	-0.824648563	-0.03135	-6.16E-02	-0.04815	0.097310115	-0.11085	-0.021397195	0.0315	-2.098267814	-0.01873678	-0.03485	-0.08515	0.610000564	0.046400135	0.005340144	0.528961024
1636	8.88E-16	-0.0042	8.88E-16	-4.44E-16	-0.013	-0.00155	-0.00185	0.008646938	-0.0146	1.70E-02	0.02285	-0.062318566	0.06275	-0.00313285	-0.01385	NA	-0.049614786	0.03305	0.04745	NA	0.038667409	0.004858881	NA
1638	8.88E-16	NA	8.88E-16	0	NA	-0.010675247	NA	8.88E-16	NA	8.88E-16	NA	-0.00646161	NA	0.04363328	NA	NA	0.022384638	NA	NA	0	-0.032586528	8.88E-16	0
1639	-0.537802031	0.03115	-0.203761279	-0.223046644	-0.04305	-0.0067	-0.00935	-0.361342709	0.0593	-8.14E-02	0.0773	0.00623687	0.0089	0.074208568	-0.0227	-0.307045801	-0.093817432	0.05995	0.08035	NA	0.051164845	-0.319772392	0.167082709
1641	-0.000945441	0.03545	-0.000945441	0	0.03405	0.00525	0.00265	-0.000945441	0.00635	-4.15E-03	0.0019	-0.027402236	0.00715	-0.015178299	-0.049	-0.006138614	-0.008823159	-0.0276	0.02685	0	0.009324051	-0.000945441	0.07896328
1642	NA	-0.0215	NA	NA	-0.00655	-0.00845	-0.0464	NA	0.059	3.83E-02	0.0375	-0.024710935	0.05095	-0.030523362	-0.0388	0.148832761	0.006046337	0.00605	0.07925	NA	0.033456216	NA	0.069201422
1643	0.137447824	0.07775	0.032086526	-0.00737466	0.03275	-0.456797417	-0.00115	0.979512079	0.0029	3.33E-01	-0.0515	-0.003996103	0.09995	-0.049954883	-0.04675	0.514888052	-0.122392874	-0.0214	0.12555	1.681121455	0.073665584	-0.486784428	0.754738562
1644	8.88E-16	0.03935	8.88E-16	-0.236176691	0.0765	-0.151967005	0.0959	8.88E-16	0.05465	8.76E-02	0.05155	-0.051716946	0.0443	-0.004210018	0.04615	NA	-0.011104061	0.02685	0.00685	-0.000214384	0.034582481	8.88E-16	0.021394062
1645	NA	0.06975	NA	NA	0.1419	0.2662	0.1169	NA	0.1585	9.06E-02	0.109	0.014662896	0.1018	0.023039161	0.1642	NA	-0.098453317	0.1956	0.0829	NA	0.043067859	NA	NA
1646	NA	-0.0174	NA	NA	0.08025	0.12195	0.07435	NA	0.13085	-7.26E-02	0.09905	NA	0.0931	NA	0.1167	NA	NA	0.0782	0.05215	NA	NA	NA	NA
1647	-0.125419596	0.16095	0.073470698	0.118957742	0.14235	-0.081239721	0.1236	-0.716845436	0.09955	-1.35E-01	-0.0576	0.003755276	0.0488	-0.194195917	0.09985	-2.410006938	0.047495644	-0.01825	0.0949	-0.560521195	0.566399646	-0.029728901	0.086015287
1649	1.080717389	0.00895	1.045364106	-0.049055685	0.24	0.748293358	-0.00345	0.926959371	-0.07525	-5.88E-01	0.2567	0.567061408	0.06415	-0.404427215	-0.00505	-2.258428466	0.25289539	0.2665	0.0818	-1.057373404	1.074435937	-1.396390908	-0.039260974
1650	-0.040545796	-0.0395	-0.032046225	-0.071513753	-0.00555	0.063003284	-0.06765	-0.869241477	-0.02485	1.85E-01	-0.0001	0.032274135	0.02225	-0.013004005	-0.0468	0.532635644	0.04848639	-0.0389	-0.0248	0.236721331	0.03653775	0.170421332	-0.257276535
1652	NA	0.01225	NA	NA	0.047	0.0985	0.08785	NA	0.11505	1.83E-01	0.2121	0.08699986	0.11355	0.016126025	0.0269	0.216564768	-0.33108162	0.16875	0.07505	NA	0.080958915	NA	0.071375991
1653	0.228793198	-0.0133	0.10229657	-0.156080701	0.02175	-0.0143	-0.0056	0.074249905	-0.02375	-1.90E-01	0.0092	-0.024991335	0.0414	0.10895814	-0.0119	-1.080293092	0.00479876	0.0212	-0.00345	NA	-0.159410835	0.024167089	-0.074287929
1654	-1.092825114	NA	-0.650482715	-0.228362047	NA	0.342642298	NA	-3.107669883	NA	-1.82E+00	NA	-0.020071852	NA	0.078798662	NA	0.707914462	0.029895405	NA	NA	-0.244702443	-0.122974284	0.551523226	-0.175021431
1655	0.043372074	NA	-0.549191818	0.049001528	NA	-0.039075233	NA	-0.130802878	NA	3.56E-01	NA	-0.096564365	NA	-0.03467375	NA	0.408485303	-0.01629559	NA	NA	0.069265344	-0.22782919	-0.262070387	-0.060595612
1656	0.020087871	-0.00135	0.020087871	0.337393011	0.0116	-0.000809343	0.02565	0.219466032	-0.0298	1.62E-02	-0.00555	-0.104773692	-0.01695	-0.071559615	0.0248	NA	-0.022999838	-0.0267	-0.02515	4.44E-16	-0.277893659	0.020087871	-0.072627714
1657	0.463020978	-0.01615	0.245161975	0.061492304	0.03875	0.16916549	-0.0561	0.178611192	0.02965	-4.16E-01	-0.0038	-0.021661305	-0.06455	-0.047503126	-0.0262	-0.218727441	0.058932905	0.0089	-0.0502	-0.095623068	-0.094515172	0.136842244	-0.12063248
1659	-0.137589716	-0.0018	0.256262515	-0.208139913	-0.07185	-0.027519002	-0.05835	-0.295900477	-0.0003	2.86E-01	0.0283	0.026732391	0.1361	0.058632062	-0.0561	-0.700520517	-0.039475456	-0.02745	0.0287	-0.432012274	-0.008152064	-0.24011787	0.033376816
1660	0.087382823	-0.0186	-0.717685478	0.221737187	-0.0315	0.038354052	-0.0813	-0.002426644	-0.08485	-8.97E-03	-0.02065	-0.017501941	-0.0038	-0.029698417	-0.0708	0.426983524	-0.083250626	0.00905	-0.0282	-0.230627889	-0.078928665	0.406232323	0.002815475
1662	NA	0.0552	NA	NA	0.00305	0.09085	0.0157	NA	0.0421	4.03E-02	0.02325	-0.238381736	0.0262	-0.389970111	0.0387	-1.488613896	-0.177940797	0.08365	0.0056	NA	0.114987271	NA	-0.141107256
1663	NA	NA	NA	NA	NA	0.048667584	NA	NA	NA	NA	NA	0.014998242	NA	0.018184119	NA	NA	-0.00616558	NA	NA	-0.062792424	0.015705486	NA	0.789914389
1665	-0.022928654	-0.00545	-0.841102777	-0.013325548	-0.0276	0.016082219	-0.1115	-0.829302769	-0.1729	-3.06E-01	-0.17	-0.140600845	-0.1964	-0.06281659	-0.0993	0.177515683	-0.90498542	-0.1057	-0.12285	0.036981977	-0.04967471	0.251804459	-0.326372287
1666	0.56958169	0.0315	0.067724945	-0.077185003	0.0406	-0.033205647	0.0091	0.564654618	0.11715	4.96E-01	-0.0521	0.03460216	-0.0448	0.14301003	0.0396	-0.411262483	-0.05262095	-0.04025	-0.0793	-0.155802108	-0.21735658	-0.074973993	0.348589563
1667	NA	-0.01645	NA	NA	-0.0163	-0.0066	0.0085	NA	0.01275	1.88E-02	0.02065	NA	0.0234	NA	-0.00255	NA	NA	0.00665	0.0126	NA	NA	NA	NA
