EntrezID	hsa-let-7b-5p	hsa-let-7c-5p	hsa-miR-1-3p	hsa-miR-101-3p	hsa-miR-103a-3p	hsa-miR-106b-5p	hsa-miR-141-3p	hsa-miR-155-5p	hsa-miR-15a-5p	hsa-miR-16-5p	hsa-miR-17-5p	hsa-miR-18a-5p	hsa-miR-192-5p	hsa-miR-193b-3p	hsa-miR-200a-3p	hsa-miR-200c-3p	hsa-miR-206	hsa-miR-20a-5p	hsa-miR-215-5p	hsa-miR-26b-5p	hsa-miR-302c-3p	hsa-miR-30a-5p	hsa-miR-98-5p
1	8.88E-16	0.00485	8.88E-16	-4.44E-16	0.0135	0.00925	0.02835	8.88E-16	0.03705	3.20E-02	0.0153	0.066162411	0.04855	0.070628351	0.00955	NA	0.118656834	0.02375	0.0325	NA	0.090881791	8.88E-16	NA
2	-1.124270435	-0.272	-0.263509836	-0.048850618	0.00405	0.0088	0.0011	-0.782022351	0.0354	-1.75E-01	0.05015	0.008868459	0.09535	0.015644734	0.00345	-0.011029314	0.042972602	0.01155	0.0287	NA	-0.041877736	-0.263509836	-0.286440918
9	0.347604364	0.0015	-0.048570198	-0.163083085	0.02615	-0.045631914	0.03725	-0.058120003	0.03895	2.57E-01	0.02325	0.002581538	-0.0238	0.004113951	0.05325	0.391269081	-0.048500896	0.00625	0.0187	0.782469041	-0.022904422	0.122785841	0.037256243
10	8.88E-16	0.0218	8.88E-16	0	-0.01875	-0.000425	-0.0098	8.88E-16	0.0083	1.61E-02	0.0584	0.039417076	0.04965	0.0339603	0.02425	NA	-0.016728189	0.01875	0.05505	0	0.052374671	8.88E-16	0
12	8.88E-16	0.0074	8.88E-16	-0.066670767	0.01155	0.02365	-0.0071	8.88E-16	0.0264	2.55E-03	0.02395	-0.316585075	0.0472	-0.08508443	-0.0008	5.02502086	-0.13588559	0	0.0156	NA	-0.704658285	8.88E-16	0.007984849
13	8.88E-16	0.06705	8.88E-16	0	0.0388	-0.0852	-0.0619	8.88E-16	-0.0185	-2.43E-02	0.0015	-0.077775784	-0.02095	-0.03997879	-0.0149	NA	0.094356085	-0.041	0.11175	NA	-0.083135789	8.88E-16	NA
14	-0.511887491	0.0031	0.114158092	-0.450829231	0.00555	0.05705	0.0032	-0.438738483	0.06045	-8.40E-02	0.069	-0.088162665	0.03025	0.05982327	-0.0059	0.36485885	-0.21407393	-0.0058	0.03995	NA	0.08760332	0.029271846	0.026704188
15	8.88E-16	0.0188	8.88E-16	0	0.00335	-0.00125	0.00025	8.88E-16	0.01335	1.29E-02	0.05025	-0.061423945	0.0453	-0.043172225	-0.00445	NA	-0.005735064	0.05195	0.0492	0	-0.06432025	8.88E-16	0
16	0.096251282	-0.0125	0.049178547	-0.158714872	0.01915	0.182098276	0.0557	0.05277163	0.0413	5.91E-02	0.1256	0.057803765	0.1704	0.070420985	0.0498	-0.671020048	0.05907091	0.10055	0.04255	-0.399946446	0.030997715	-0.07881064	0.093105472
18	8.88E-16	NA	8.88E-16	0.002966488	NA	0.139240997	NA	8.88E-16	NA	8.88E-16	NA	-0.326621102	NA	0.119459327	NA	1.523190257	0.004255758	NA	NA	0	-0.108485408	8.88E-16	-0.015742043
19	-0.228246519	0.0502	0.857627235	0	0.00295	-0.0016	-0.00065	0.151783534	0.00255	-4.41E-01	0.03305	-0.111691615	0.0364	0.160368583	0.0021	-1.338018324	-0.035089402	0.0232	0.04455	0	-0.101734247	-1.024344434	-0.076917295
20	-0.516889303	0.0344	-0.343591183	0.001133679	0.0217	-0.07915	-0.00345	-0.408892225	0.10855	-1.61E-01	0.02405	-0.058424468	-0.0128	0.013988754	0.0335	1.215365568	-0.115972346	-0.0098	-0.0012	NA	7.82E-05	-0.134429383	0.084741231
21	-0.334097446	0.0724	0.19628901	-0.073986181	0.0352	-0.007807597	0.0981	-0.334097446	0.3675	-2.07E-02	0.0706	-0.149008211	0.03255	-0.056947268	0.1298	1.799067799	-0.426960689	0.07385	0.09425	0	0.041608318	-0.334097446	0.069702223
22	0.104738219	-0.00265	0.107270345	0.139158549	-0.01505	-0.020111927	0.00335	0.274204871	-0.02875	-1.03E-01	0.02185	-0.149460832	0.0286	0.049048916	0.0005	-1.41805195	-0.257343995	0.0567	0.02405	-0.224360179	-0.483777326	0.14066457	-0.350043003
23	NA	-0.0438	NA	NA	-0.25515	0.09675	0.0241	NA	-0.2783	-2.26E-01	0.0723	0.111152555	0.105	0.198569585	0.0213	0.290796146	0.19832994	0.008	0.06475	NA	0.3651839	NA	0.287955628
24	8.88E-16	NA	8.88E-16	0	NA	4.44089E-16	NA	8.88E-16	NA	8.88E-16	NA	0.02621442	NA	0.067604937	NA	-0.111195033	-0.034519781	NA	NA	0	0.025645315	8.88E-16	0.012119567
25	-0.91966512	0.00425	0.166833413	-0.108222753	0.0415	-0.144392445	0.02485	-1.814806306	0.00625	-2.59E-01	0.0554	-0.1092689	0.03945	0.007691793	0.0146	-1.296152163	0.043420901	0.04555	0.02265	0.10626107	0.114500278	-0.083269725	-0.260777697
26	8.88E-16	-0.02015	8.88E-16	0	-0.0045	-0.012075	-0.02235	8.88E-16	0.0328	-2.08E-02	0.02275	0.003459967	0.0493	0.006338624	-0.01935	NA	0.047990443	0.03385	0.0136	0	0.017635754	8.88E-16	0
27	0.08730836	0.0652	0.22118774	-0.174452137	0.0085	0.00455	-0.00405	-0.252213689	-0.0177	-2.66E-01	-0.01265	-0.051241568	-0.0468	-0.083537408	-0.0309	-0.634723316	-0.0264849	-0.0139	-0.0123	-0.086793368	-0.031395467	-0.234800679	-0.063727015
28	-0.005012247	0.01895	0.597728021	-0.101973439	-0.1109	-0.0031	-0.04405	-0.005012247	-0.06165	-5.35E-02	-0.01625	-0.077937973	-0.05695	-0.020744917	-0.0451	NA	-0.033730291	-0.00655	-0.01165	NA	0.026918821	-0.005012247	NA
29	-0.858195404	-0.0973	-0.323561172	0.001930366	-0.14235	-0.07735	0.1101	-0.793011133	0.05475	-2.17E-01	-0.07955	-0.033003979	0.07585	-0.098734893	0.11275	0.256756468	0.037698194	-0.06155	0.05985	NA	0.076520017	-0.156507419	0.078926695
30	0.030205536	-0.00495	0.048710133	0.078584884	0.01145	0.01845	0.03545	0.359150206	0.15365	4.54E-01	0.0753	0.22831686	0.06045	0.29748566	0.0367	0.897449986	0.07604751	0.09705	-0.03235	NA	0.021502185	-0.050358444	0.150914482
31	0.005565668	NA	0.144584632	-0.068481992	NA	NA	NA	0.20082202	NA	6.43E-01	NA	0.03089993	NA	0.20128471	NA	-0.013677794	0.091661298	NA	NA	NA	0.197846115	0.057217939	-0.022360831
32	0.529030493	NA	-0.352626219	-0.040149473	NA	NA	NA	0.989710596	NA	3.89E-01	NA	0.241835638	NA	0.057680887	NA	0.076177253	0.20782441	NA	NA	NA	0.003509794	0.145940828	0.059073838
33	0.375510653	NA	-0.354981579	-0.001031611	NA	4.44089E-16	NA	-0.444418371	NA	-4.30E-01	NA	-0.049548099	NA	-0.03418649	NA	NA	-0.045262243	NA	NA	0	-0.049835198	1.855589196	0
34	0.32157072	0.01125	0.158827815	0.303228051	-0.0666	0.045357922	-0.03935	0.149037594	-0.05635	-3.22E-01	-0.33055	-0.114524382	-0.14645	0.041353375	-0.00305	-1.568829422	-0.190918075	-0.1031	-0.146	-1.235956826	-0.198813868	0.138975517	-0.162747602
35	-0.009058593	0.04725	8.88E-16	0.201196568	-0.0346	-0.005277196	-0.0267	8.88E-16	0.07975	1.98E-01	0.0704	-0.01101942	-0.02415	-0.005720736	-0.03225	-0.251919889	-0.056255362	0.04825	-0.02765	-0.07146174	0.004450333	8.88E-16	0.178370428
36	0.330526624	0.0262	-0.120686661	-0.068805058	-0.00465	-0.14365	-0.0004	-0.014595239	0.01925	-6.69E-02	-0.0273	-0.067098492	-0.24945	0.013717891	0.04245	NA	-0.018047923	-0.16615	-0.2749	NA	-0.220360162	-0.112987009	NA
37	-0.499328579	-0.00905	0.163834813	-0.25633094	0.0047	-0.032154678	0.00845	-0.110836819	0.0256	-1.73E-01	0.027	0.222100475	0.09905	0.10960494	0.0391	0.800568355	-0.11780344	-0.0411	-0.00895	0.499414021	0.23460897	0.024516463	0.41984359
38	-0.003222296	-0.0146	0.067687011	-0.066845061	0.0386	0.033393857	0.0336	-0.016332564	0.0324	3.86E-02	-0.07565	0.017437215	-0.0223	0.08237107	0.0288	-1.350527871	0.19208535	-0.03285	-0.08775	0.027824408	-0.375770495	0.117440132	0.069411094
39	0.631157213	0.00675	-0.125296643	-0.200001862	0.0126	0.015731013	-0.02175	-0.55058633	-0.00455	6.81E-01	0.07535	-0.09521673	-0.1584	-0.062010805	0.0021	-0.497759977	-0.1450047	0.10505	-0.16775	0.018989641	-0.07255255	0.506888228	0.198469362
40	8.88E-16	-0.03225	0.003848325	-3.81E-05	-0.0106	0.002475	-0.00465	8.88E-16	0.0094	-1.85E-03	0.0081	-0.03782745	-0.0062	0.022699277	-0.0122	NA	-0.020274074	0.012	-0.01465	0.000001994	-0.020907484	8.88E-16	0
41	-0.129128757	-0.10625	-0.050786307	-0.051266115	0.1441	0.038784443	0.1988	0.054401181	0.3328	3.01E-01	0.2596	-0.035460552	0.06695	0.007286657	0.167	-0.198684372	0.050305402	0.1505	0.03995	0.543177867	-0.123869839	0.318130008	-0.046790736
43	-0.046661169	0.0105	0.063258217	-0.073903199	-0.0087	-0.003625	0.0156	-0.046661169	-0.00045	-2.67E-02	0.0678	0.03470672	0.0521	0.025459422	-0.0281	NA	0.001144221	0.05935	0.0465	-0.001060722	0.078865838	-0.046661169	4.44089E-16
47	-0.452430828	-0.08645	-0.123720622	-0.649341822	0.0217	0.320442014	-0.02845	-1.402740357	0.05245	2.18E-01	0.03215	-0.145469085	0.009	0.00791095	0.00385	-1.234025739	-0.03884808	0.0008	-0.0494	-0.354286995	-0.11021706	0.24432915	-0.310080829
48	-0.744452391	0.0317	0.368867988	0.011610472	0.01	0.066772665	-0.1025	-0.637451214	-0.0082	-7.11E-02	0.0341	0.091735592	-0.06505	0.200347	-0.10825	-1.536119256	-0.054548157	0.054	-0.0602	-0.152132938	-0.121494341	0.251983283	-0.32628357
49	NA	-0.0095	NA	NA	0.0195	0.013925	-0.00645	NA	0.01615	2.35E-02	0.0134	0.016190527	0.0287	2.47E-07	-0.0087	-0.109050981	0.008039753	0.0482	0.01145	0	-0.006350453	NA	-0.002204688
50	0.082964717	-0.0064	0.282499577	-0.15764424	0.0031	-0.013893527	0.0137	-0.060916088	0.0254	2.97E-01	0.05515	0.117247675	0.08395	0.180391018	0.025	0.684308613	-0.088724677	0.025	0.03495	-0.189950565	0.220049064	-0.021300986	0.363797199
51	0.221019717	0.03285	0.007944445	-0.060968014	-0.0524	0.045341704	-0.11045	0.061920222	-0.0366	1.51E-01	0.0075	0.086690891	-0.08565	0.073926318	-0.0842	NA	-0.067690489	-0.01935	-0.07495	-0.325936668	-0.071834115	-0.041665318	-0.134419281
52	0.002746138	-0.0779	0.034118611	-0.100533807	0.12285	0.157287286	0.07495	-0.619359857	0.0197	5.22E-02	0.00075	-0.31325729	-0.12375	-0.130006975	0.0307	0.114657985	-0.10507357	0.0275	-0.12315	-0.069408359	-0.074986655	0.233866079	-0.290314705
53	-0.031189573	0.0558	0.122070889	-0.215277528	-0.07595	0.086251265	-0.01255	0.099130652	-0.33975	-4.06E-01	-0.1163	0.217656862	-0.03445	0.101353617	-0.05675	-0.478036418	-0.035695662	-0.0248	-0.00805	0.185132423	0.156758683	-0.200737006	0.449260545
54	8.88E-16	0.01535	0.089456135	0	0.02995	0.009375	0.02165	8.88E-16	-0.00785	1.50E-02	0.00145	0.010864623	0.0511	-0.015351279	-0.03305	NA	-0.006045166	0.01995	-0.00075	0	-0.007098616	8.88E-16	0
55	8.88E-16	-0.03	8.88E-16	-0.053602723	0.01085	0.00205	-0.02835	8.88E-16	0.0949	5.50E-02	0.0083	0.020179626	-0.00375	-0.05922093	0.05655	NA	0.177898477	0.05245	-0.02105	NA	0.171793769	8.88E-16	NA
56	8.88E-16	-0.0869	8.88E-16	0	0.0111	-0.032725	-0.04	8.88E-16	-0.04035	3.70E-02	0.0191	0.029009523	0.00275	0.042024356	0.10225	-0.051495537	0.012103977	-0.0219	-0.0051	0	-0.002766204	8.88E-16	0.031361247
58	8.88E-16	-0.09915	8.88E-16	0	-0.11945	-0.015839805	-0.0318	8.88E-16	-0.2373	-1.43E-01	-0.13285	NA	-0.12105	NA	-0.03555	NA	NA	-0.12235	-0.16065	0	NA	8.88E-16	0
59	-0.056770789	-0.09455	0.138109614	-0.466305747	0.0735	-0.0127	0.1905	-0.195910662	0.2797	2.39E+00	0.07435	-0.098858033	0.17995	0.279914058	0.13135	-1.62963205	-0.642877656	0.0356	0.2242	NA	-0.064957077	1.021822408	0.005711619
60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012925978	NA	-0.07789124	NA	1.090445216	-0.228469117	NA	NA	NA	-0.066100067	NA	0.405928728
70	0.118697067	NA	-0.312785652	0.023657584	NA	NA	NA	-1.11037043	NA	2.90E+00	NA	0.019461724	NA	0.048192745	NA	-0.005898702	0.03931196	NA	NA	NA	0.046533799	0.856750567	0.020202454
71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.026236975	NA	-0.131535565	NA	0.882292024	-0.2279396	NA	NA	NA	-0.516539665	NA	0.103297102
72	-1.371119192	-0.1988	-1.345648588	-0.028730738	0.02315	0.0219	0.0052	-2.796344541	0.0107	1.08E+00	0.0126	0.053501293	-0.0011	0.103816229	-0.0291	1.853281447	0.158663332	-0.0212	-0.0225	NA	0.24962103	0.804622534	-0.146064047
81	-0.477160422	0.00735	0.063283294	-0.051490388	0.00045	-0.161831669	-0.0069	-0.143656254	0.0229	9.21E-03	0.0341	-0.05893242	0.0609	0.06584971	0.00475	-0.331734441	-0.14493394	0.05875	0.03095	0.937209976	-0.041648175	0.063283294	0.412401474
86	1.04511111	0.00485	-0.446131841	0.446885565	-0.0008	-0.04295	-0.0563	0.656907128	-0.02685	7.21E-01	-0.07805	-0.602333175	-0.04975	-0.070868465	-0.0366	-0.819258077	-0.0392718	-0.0991	-0.06205	NA	-0.430337595	0.434644746	-0.398142767
87	-0.727537292	-0.01125	-0.202649426	0.050309673	-0.0164	0.0638	-0.0378	-0.037908566	0.01665	6.86E-02	0.041	0.03071527	0.0919	-0.024373115	-0.01905	-0.467713736	-0.10285286	0.02515	0.06	NA	0.1016191	-0.007234327	-0.129294862
88	4.44E-16	NA	0.007928456	-0.02428178	NA	4.44089E-16	NA	-0.001083397	NA	4.44E-16	NA	0.037540898	NA	-0.041518047	NA	NA	0.029555351	NA	NA	0	-0.025031784	4.44E-16	0
89	8.88E-16	0.00725	8.88E-16	0.073285548	0.00745	0.015675	-0.01165	8.88E-16	-0.02455	-5.40E-03	0.0163	0.020285935	0.0279	0.006050816	-0.00145	0.059284126	-0.047281316	-0.02645	0.0179	0	0.030216571	8.88E-16	0.008415257
90	0.630725344	0.0016	0.682335598	-0.035432505	-0.11745	-0.05435	0.0104	-0.13434537	-0.0923	1.57E-01	-0.07805	0.15009858	-0.15235	0.018308915	0.04235	-0.765413916	-0.19699259	-0.10185	-0.15245	NA	0.072460385	-0.912725	-0.293466296
91	-0.148989346	-0.16145	0.200258199	-0.114689134	0.09785	-0.001110043	0.0209	0.071182418	0.11585	1.52E-01	-0.0684	0.002736241	0.0022	-0.006990886	0.0128	-0.00061451	0.053641126	-0.0786	0.0284	0.012961774	-0.002061435	0.059831206	0.005684995
92	-0.002372785	-0.10015	0.001248446	-0.052283535	-0.01395	0.0622	-0.02425	-0.014636575	-0.17645	-6.21E-01	0.03565	0.084877917	0.0823	0.040897711	0.0416	-0.062472952	0.026235894	0.04965	0.0563	NA	0.066227515	0.522965061	-0.209192062
93	0.058636922	-0.14265	-0.005970903	-0.057061588	-0.10185	0.061478625	0.03225	0.031680667	-0.1392	-8.82E-02	0.1872	-0.011920734	-0.1203	0.016729849	0.0178	0.038286281	0.010743877	0.19935	-0.0984	0.524255766	-0.037328017	0.119895998	-0.422747748
94	8.88E-16	0.00155	8.88E-16	0	0.00265	0.04045	-0.01205	8.88E-16	-0.05055	-7.01E-02	0.01085	0.011424416	0.06015	-0.004527445	0.00725	-0.258913487	-0.013254328	0.01045	0.0709	NA	-0.004693476	8.88E-16	0.087126485
95	-0.285764357	0.02655	0.310544468	-0.06732121	-0.03395	-0.0147	-0.0178	-0.151885753	0.1679	2.23E-01	0.05355	0.121110381	0.07215	0.044059202	-0.01495	-1.849481158	-0.071879704	0.0548	0.0661	NA	-0.191692497	-0.367505677	0.332335162
97	0.125375006	0.0013	-0.080539859	0.187081598	-0.02495	-0.12295	0.04685	-0.220035393	-0.077	9.71E-02	-0.09425	0.042875265	-0.02415	0.089263134	0.0174	-0.605768324	0.433689134	-0.1423	-0.0748	NA	0.018587022	0.520545992	-0.033916062
98	0.345739553	0.0948	0.365130942	-0.546191826	0.0311	-0.03035	0.06115	0.139991604	0.0902	3.27E-01	-0.05895	0.097949014	-0.01725	0.073024845	0.0636	NA	0.157670814	-0.00985	-0.0243	NA	-0.017238729	-0.390473237	NA
100	-1.584379737	-0.11105	0.122141323	0.071373796	0.06105	0.027232924	0.11815	-0.350704488	0.16405	5.16E-01	0.10785	-0.291979609	0.17805	-0.020748839	0.12055	0.109739037	-0.048683452	0.05995	0.0207	0.29769145	-0.536205984	0.058880389	-0.531586635
101	4.44E-16	0.0169	4.44E-16	-0.113549396	-0.01175	0.05105	-0.02205	0.000624631	0.0176	1.58E-02	0.068	0.022988088	0.02765	-0.028897893	-0.0114	-1.425031816	-0.122807476	0.05095	0.03365	NA	0.043826402	4.44E-16	-0.098588546
102	-0.02327802	0.01505	-0.499918735	-0.334832531	-0.0079	0.012995626	-0.05335	-3.084843884	-0.0217	-6.09E-01	-0.05755	-0.003548259	-0.0638	0.070531339	-0.0148	-0.324351838	-0.068953758	-0.06175	-0.05225	0.018420155	-0.146444099	0.53784752	-0.343214364
103	0.408925936	NA	-1.443360983	-0.278088939	NA	0.085584401	NA	0.66041992	NA	6.32E-01	NA	0.039637401	NA	0.041325543	NA	0.558801962	-0.459915549	NA	NA	-0.506748132	0.024167854	0.149857109	-0.128886366
104	0.238820164	-0.01155	-0.057593372	0.036595744	-0.00275	0.002418102	0.03555	0.115358333	0.00875	1.32E-01	0.02195	0.171979762	0.0259	-0.219931614	0.00485	NA	0.10349777	-0.0013	0.0022	0	0.275823111	0.062114954	0
105	-0.113671513	0.0221	-0.113671513	0.017506967	-0.0062	-0.03505	0.0163	-0.113671513	0.01115	-7.23E-02	0.02845	0.012470017	0.00025	0.002021903	0.0496	NA	0.015660562	0.03655	-0.00705	-0.298910618	0.045304091	-0.113671513	0.679280973
107	-0.078693852	0.0032	0.021650769	-0.008102167	0.0462	0.0067	-0.0288	4.44E-16	0.0166	3.11E-02	-0.0529	-0.102323649	-0.0146	-0.061104751	-0.00245	0.945414629	-0.027710209	-0.04645	-0.0305	NA	-0.143014446	4.44E-16	-8.99987E-05
108	-0.011803134	-0.00035	-0.011803134	-0.01077787	0.01905	-0.002240728	0.01715	-0.011803134	0.01885	1.28E-02	0.02255	0.045855594	0.0521	-0.028208137	-0.00875	NA	-0.091569142	0.0395	0.04615	-0.000439494	0.005181381	-0.011803134	4.44089E-16
109	-0.217182214	-0.0592	-0.277334752	-0.117683629	0.0259	0.08365	0.1539	0.160765532	0.04205	8.32E-02	0.0547	-0.30096627	-0.0153	-0.373713545	0.12985	0.304410045	-0.21427555	0.0543	0.0473	NA	0.020243985	0.210723549	-0.108304437
111	8.88E-16	NA	8.88E-16	-0.469478371	NA	NA	NA	8.88E-16	NA	8.88E-16	NA	0.208843298	NA	0.08760884	NA	0.707386232	-0.211317722	NA	NA	NA	0.306400966	8.88E-16	-0.071898641
112	-0.090487218	0.06575	-0.090487218	-0.3634166	-0.07385	-0.052132678	0.1283	-0.494601244	0.15	4.23E-02	0.03755	0.468552323	-0.0019	0.259985935	0.11345	-0.002440888	0.125895275	0.0996	-0.0074	1.041097895	0.626463166	0.521380319	0.774263977
113	0.086441945	0.03195	0.03410744	-0.104645055	0.07895	-0.0206	-0.1244	0.120217755	0.031	-2.64E-02	-0.22465	0.042831833	-0.17075	-0.014402176	-0.01655	-0.874231364	-0.009946439	-0.0769	-0.183	0.047807035	-0.087899859	-0.132651224	0.34887923
114	8.88E-16	0.04195	8.88E-16	-0.03620802	-0.01975	0.001375	0.00155	8.88E-16	0.0101	-1.09E-02	0.0009	-0.005317592	0.03135	-0.025743583	0.01785	NA	-0.012476625	0.03365	0.00835	0	-0.027359934	8.88E-16	0
115	-1.200180201	0.1024	0.293385115	-0.255986991	-0.0002	0.145245108	0.0324	-0.292339791	-0.04825	1.21E-01	0.1234	-0.073084509	0.0392	-0.518376759	-0.0076	1.055484602	0.066499636	0.1309	0.00525	0.282629438	0.259106809	0.394412168	-0.76762139
116	8.88E-16	NA	8.88E-16	0	NA	4.44089E-16	NA	8.88E-16	NA	8.88E-16	NA	0.021527744	NA	0.006886332	NA	NA	-0.033543196	NA	NA	0	0.058574125	8.88E-16	0
117	8.88E-16	-0.09695	8.88E-16	0	-0.03855	-0.0054	-0.0028	8.88E-16	-0.0451	-4.88E-02	0.00565	0.025187767	0.0597	0.020559952	-0.0159	NA	-0.024280704	0.0445	0.0226	-0.01944604	0.014585851	8.88E-16	4.44089E-16
118	0.184972861	0.0055	0.313884472	-0.010517624	-0.00595	-0.099364614	-0.00045	0.48033858	-0.02075	-6.61E-02	-0.15335	0.161385195	-0.00995	0.18482236	0.00795	0.316566878	0.16669001	-0.07635	-0.00405	0.413922959	-0.067006335	-0.171427903	0.126440939
119	0.009643859	NA	0	0.03792354	NA	4.44089E-16	NA	0.050972681	NA	8.42E-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0
120	0.179720651	0.02135	0.25523724	0.006133996	0.0258	0.04605	-0.2303	-2.251973593	0.0927	-1.94E-01	-0.09995	-0.441219724	-0.1986	-0.188747291	-0.07405	-0.422138223	0.062396299	0.0039	-0.23745	NA	-0.257922686	0.203751645	-0.397385038
123	-0.760453242	-0.01515	0.403967729	0.068249685	0.0059	0.003244238	-0.02255	-1.184977861	-0.01985	-7.71E-02	0.04525	0.110490819	-0.02725	-0.129143621	-0.01895	2.288815545	0.328991907	0.0361	0.0274	-0.820073803	-0.260792795	-0.001763542	-0.336870063
124	8.88E-16	-0.012	8.88E-16	0	-0.0098	0.0005	0.02865	8.88E-16	0.00545	2.40E-03	-0.02825	0.00729104	0.00775	0.030568947	-0.0353	NA	-0.007308778	0.00675	0.01005	0	0.013219641	8.88E-16	0
125	8.88E-16	-0.01055	8.88E-16	0	-0.0016	0.013825	-0.0248	8.88E-16	0.036	1.33E-03	-0.00525	-0.011420572	0.01565	-0.025529009	-0.05245	NA	0.021644502	0.03975	-0.03905	0	-0.026630683	0.000368955	0
126	-0.000860108	-0.0055	-0.000860108	0	-0.0179	-0.264537554	-0.0018	-0.000860108	-0.0553	-1.52E-02	-0.01985	0.032289569	0.00235	0.037751176	-0.0167	NA	-0.014491091	-0.02195	0.0452	0	-0.011215359	-0.000860108	0
127	8.88E-16	-0.026	8.88E-16	0	-0.02455	0.02135	-0.02345	8.88E-16	-0.0125	1.28E-03	0.0332	-0.014394572	0.0434	-0.031668742	0.01035	NA	-0.014171118	0.03345	0.0152	NA	-0.047328478	8.88E-16	NA
128	0.127339132	-0.05995	-0.513611577	-0.594554374	0.0663	0.03167946	0.0509	-0.848260493	0.0559	3.32E-01	0.01735	0.037750704	-0.031	-0.054459665	0.0588	-0.434639577	-0.039768406	0.0478	-0.09295	-0.007943679	-0.083121014	0.052492178	0.077964881
130	8.88E-16	-0.0566	8.88E-16	0	-0.04085	-0.040075	0.01325	8.88E-16	-0.0241	-4.05E-03	0.01295	-0.083324717	-0.0079	-0.011296472	-0.0049	NA	-0.029080625	0.0519	0.01595	0	-0.066111035	8.88E-16	0
131	-0.190579632	NA	-0.082065766	0.075563495	NA	-0.005672415	NA	-0.190579632	NA	-1.91E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	-0.190479488	0
132	0.527309678	0.04355	0.168345739	0.326132603	-0.004	-0.04015	-0.036	0.074292892	-0.0852	-6.61E-02	-0.09085	-0.082932698	-0.0763	-0.001550286	-0.0169	-0.581145028	0.020786743	-0.04465	-0.05785	NA	-0.208802538	0.085605359	-0.042870668
133	0.461029874	0.00735	0.243456892	-0.130363846	0.1264	0.05093372	0.02275	0.745054156	0.1696	4.23E-01	-0.0718	0.251843807	0.09235	-0.26123882	0.0044	-0.785457339	0.479706531	0.02485	0.13375	0.629079501	0.500542386	0.332155179	-0.118755951
134	1.33E-15	0.03305	1.33E-15	0.147163609	0.01015	0.016455385	0.05105	1.33E-15	0.0645	5.00E-02	0.0183	-0.06978003	0.10235	0.078983323	0.05295	0.019722833	-0.084663345	0.04955	0.06085	4.89E-05	-0.050795193	0.070011528	0.082981476
135	8.88E-16	0.0157	8.88E-16	-0.008113269	-0.06145	0.0324	-0.0282	8.88E-16	-0.0441	-4.90E-02	0.025	0.01318405	0.02915	0.056085464	0.0255	0.257788773	0.087854625	-0.03945	-0.01295	0	0.059049802	0.039280063	0.000617129
136	-0.68817748	0.0328	0.387979615	-0.413752639	-0.0036	-0.035667385	0.0049	-0.933892761	-0.08225	-8.43E-01	-0.0753	-0.107106594	-0.02145	-0.058234368	-0.0242	-0.423761731	0.171555067	-0.0567	0.0176	0	-0.373219652	-0.27059734	-0.008218455
140	8.88E-16	-0.00235	8.88E-16	0	0.01005	0.010222252	-0.00225	8.88E-16	0.00435	-3.18E-02	0.0285	-0.020234731	-0.0151	0.006353846	0.0011	NA	-0.006257639	0.00065	-0.0039	0	0.007494014	8.88E-16	0
141	4.44E-16	-0.0073	0.00850442	-0.008587839	0.0028	0.0093	-0.01305	4.44E-16	0.00415	-1.31E-02	0.0416	0.060511951	0.04405	0.020113093	-0.0166	-0.12335635	0.00899011	-0.00145	0.0025	NA	0.013319547	4.44E-16	0.020326568
142	0.017581805	-0.0391	0.098703109	-0.003412206	-0.0327	-0.088867154	-0.10555	0.157463882	-0.0254	3.04E-01	-0.03615	-0.22565878	-0.03915	-0.082324225	-0.10225	0.039969149	-0.10997923	-0.0702	-0.1068	0.446124257	-0.290785195	0.047739495	-0.12294644
143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.25184257	NA	0.13477713	NA	-0.824141786	-0.1190946	NA	NA	NA	-0.07310185	NA	0.032069326
146	8.88E-16	0.0046	0.032947665	0.034952534	-0.012	-0.00990287	0.00075	8.88E-16	-0.0087	2.12E-02	0.0245	0.015896478	0.06175	0.044454157	-0.00565	0.082650777	0.090821426	0.02155	-0.0101	0	0.097401087	8.88E-16	0.182474169
147	8.88E-16	-0.02755	8.88E-16	0	0.00535	0.0056	0.01485	8.88E-16	0.0074	1.36E-02	0.03435	-0.031401559	0.0561	-0.00914285	0.00695	NA	-0.009378765	0.0425	0.013	0	0.072086891	8.88E-16	0
148	4.44E-16	0.10275	4.44E-16	0.013969052	-0.0469	0.002025	-0.11135	4.44E-16	0.02665	1.90E-02	-0.0038	0.020556925	0.0097	0.047076957	0.0541	-0.197950195	0.018863326	-0.0332	-0.0105	0	0.025438338	4.44E-16	0.16449469
150	1.023762489	-0.05695	0.059827014	0	0.0396	0.004502929	0.0034	0.780139277	-0.0121	5.95E-01	-0.0594	0.014224489	-0.03505	-0.005306359	-0.033	0.098464481	-0.117697279	0.02925	-0.0049	0	0.091263544	-0.323495061	0.036420696
