miRNA	T47D	COLO205	HCC_2998	HCT_15	KM12	NCI_H322M	OVCAR_3	OVCAR_4	HCT_116	HT29	MCF7	BT_549	HS578T	MDA_MB_231	SF_268	SF_295	SF_539	SNB_19	SNB_75	U251	SW_620	HOP_62	HOP_92	NCI_H23	NCI_H522	CCRF_CEM	HL_60	MOLT_4	SR	LOXIMVI	M14	MDA_MB_435	SK_MEL_28	UACC_62	IGROV1	NCI_ADR_RES	OVCAR_5	OVCAR_8	PC_3	786_0	A498	ACHN	RXF_393	SN12C	TK_10	CAKI_1	K_562	SK_MEL_2
hsa-miR-128-3p|MIMAT0000424	6.954564834	7.407345114	7.246565797	7.303986642	7.30390981	7.395200586	7.34291431	7.181151167	7.454529573	7.272189844	7.285764025	6.90564637	7.051279132	7.017417829	6.986627107	6.941866737	6.984522608	7.505703204	6.870586111	7.267729712	7.742488877	7.215284908	7.396462686	7.584150554	7.246028532	7.863490782	7.021006831	8.857425139	7.073660573	6.881279164	7.349296432	6.771671341	6.949877555	7.185849146	7.058570347	6.689683174	6.872701235	6.899210932	7.312893304	7.189070082	7.049917802	6.923479983	6.957862927	7.187977989	6.741964965	6.940774395	7.260131628	6.847397962
hsa-miR-1287-5p|MIMAT0005878	6.76877491	6.846198214	7.031220121	7.139428129	6.915037404	7.07246944	6.828145718	7.060948375	7.078350473	7.222471607	7.725366393	6.770004893	6.809687012	7.162704925	6.917149132	7.382858363	7.165880294	7.06607859	6.850949788	7.031110324	6.653067246	6.881933486	6.434003145	6.291549143	6.921850882	7.123792771	6.793823208	6.846827639	6.341177679	6.680734394	6.794161974	7.673218423	6.918437654	6.961167579	6.918437949	7.573850219	7.118012026	6.961784206	7.111638617	6.941136895	6.529564337	7.189484827	6.74864559	6.764719447	6.766102997	6.619740215	6.855446589	7.03264375
hsa-miR-129-5p|MIMAT0000242	6.881532166	7.027444304	7.23474111	7.427649476	7.373726136	7.161907134	6.912672657	7.169120352	7.412374362	7.169882971	7.305254903	7.350519438	7.749186944	7.527296511	7.575435252	7.056706123	6.934954642	6.883085464	6.792648603	6.832078799	7.305324892	7.316466618	7.221410577	6.888247781	7.300813965	6.706512998	7.437783959	7.768231318	7.28259266	7.481683273	7.03457094	7.495482166	7.230204907	7.284955551	7.174636604	7.0560523	7.13911636	7.293731158	7.19483477	7.104464106	7.081387767	7.077870814	6.856758766	7.508924708	7.171216373	7.097115214	7.192318287	7.503312005
hsa-miR-1296-5p|MIMAT0005794	6.574434425	6.413972	6.608933298	6.691242049	6.658256792	6.87892745	6.463431635	6.695852779	6.718980099	6.664228428	6.675592204	6.66149912	6.728015119	6.637288112	6.654309989	6.550458908	6.763086191	6.568278786	6.610385406	6.497137741	6.53334555	6.559450644	6.527189618	6.461307064	6.544057961	6.515157161	6.472210973	6.510037868	6.383117971	6.670616372	6.574994702	6.971457046	6.647343776	6.602798533	6.644800825	6.750805634	6.583860067	6.83296324	6.786003328	6.628513322	6.394840014	6.678667847	6.514258816	6.632076868	6.516735577	6.541543981	6.607811101	6.667230483
hsa-miR-1301-3p|MIMAT0005797	8.487484029	8.533142257	8.721977832	9.392396462	9.314112813	8.681244675	8.158951689	9.217539955	9.391054903	8.887116387	9.15434889	8.332247378	9.27424258	9.166557271	9.533958405	8.913039965	8.704954511	8.693630834	8.649612882	8.797157971	8.641482638	8.566526839	9.09604827	9.027555234	9.540368995	8.994141952	9.515854949	9.177103618	8.915469919	8.393857774	8.655160348	9.406331007	8.54587849	9.310686609	9.892802169	9.046035369	8.746347067	9.367537479	9.118745464	8.620381174	7.950494807	9.480572943	9.059479239	8.881071141	9.060830853	8.928263319	8.572700995	9.096851385
hsa-miR-1307-3p|MIMAT0005951	7.310961042	7.140936827	7.078038316	7.284035204	7.558906371	7.109980034	7.2727361	7.018807455	7.722040384	7.539209207	7.411815522	7.471873357	7.19222498	7.173096101	6.96592794	6.676078251	7.203424382	6.915098179	6.69427044	6.819956925	7.257047404	6.74571704	6.628688338	7.513690723	7.502517011	7.133017439	7.012746795	7.318016002	7.312894911	7.152188812	7.056450615	7.136663334	6.888895768	7.08225342	7.291649604	6.963579718	6.934606826	7.116315136	6.96727641	7.204811693	7.062790708	7.003591888	6.958561558	6.846580906	6.850693291	6.946833344	7.077415417	7.39325813
hsa-miR-130a-3p|MIMAT0000425	10.49828819	6.509635567	6.622810552	6.768005767	6.810462546	11.40828575	9.819691807	10.21414982	8.756969092	6.64032254	6.553119584	9.34149898	8.624595778	9.422890401	9.320514816	7.972651337	9.133908894	9.52805977	8.668990374	9.04488505	6.654255834	9.912204795	8.499619046	9.200221236	10.47767671	7.421341706	6.437288956	8.161420566	6.517326027	9.12039353	9.60851247	8.224852731	8.042861555	7.23449988	6.43965653	10.25449	9.604625758	10.99725619	7.016247348	8.754464788	6.928300502	9.343288842	6.832496925	10.36504788	7.724587328	8.14350766	7.134049312	8.425760415
hsa-miR-130b-3p|MIMAT0000691	6.798059119	7.061818169	7.038417527	7.382693876	7.42740404	7.090665504	6.922859957	6.970980375	7.130443669	6.997395601	6.867615371	6.973967935	7.098985847	6.975820975	7.045693158	6.753917709	6.74346894	7.227533844	6.785862298	7.085694568	7.299114989	7.18936783	7.221489081	6.670644385	7.081734683	7.233269711	6.657567315	7.605369544	6.783225904	6.6585425	7.123099604	6.641048591	6.761781067	6.750052081	6.840431708	6.632263961	6.825122873	6.902335734	6.988857423	7.114547882	6.537628092	6.602275049	6.997600333	6.947907769	6.63623812	6.577121238	8.080708133	6.690249962
hsa-miR-132-3p|MIMAT0000426	6.436833373	6.419978405	6.523774546	6.550722559	6.507247683	6.503928202	6.415921022	6.467798253	6.536192072	6.562133967	6.673974819	6.599176406	6.564270015	6.555142378	6.568231848	6.463324496	6.435025382	6.527555253	6.45243858	6.473427631	6.721978654	6.595185463	6.637538929	6.855661683	6.655511935	6.316574755	6.397406209	6.45387136	6.531709622	6.540951981	6.585501308	6.568051497	6.42417281	6.47063	6.451906087	6.419902928	6.851993545	6.463145103	6.437354802	6.501921251	6.484862322	6.46393563	6.412239636	6.485069904	6.422526784	6.479651327	6.56655988	6.469022328
hsa-miR-133a-3p|MIMAT0000427	6.290262506	6.356859214	6.303998556	6.322947687	6.315977799	6.641289003	6.906663723	6.347324344	6.33429976	6.338674246	6.311306013	6.341358141	6.313775742	6.351789676	6.28257555	6.31123888	6.253115775	6.369665412	6.331121375	6.378921526	6.604301328	6.348787967	6.403755871	6.386736013	6.315789784	6.179841294	6.25195884	6.310597785	6.376941552	6.344927227	6.445218484	6.26558683	6.300785185	6.28170233	6.310268416	6.303854763	6.289934461	6.233709384	6.325917442	6.323324866	6.426431305	6.319551778	6.326488565	6.313179805	6.298136559	6.352029308	6.351253308	6.331655518
hsa-miR-133b|MIMAT0000770	6.531248595	6.574558105	6.428715458	6.378480492	6.403652666	6.391293125	6.605109256	6.436120276	6.392348451	6.38330213	6.430748701	6.40888764	6.426115391	6.407398226	6.344257944	6.387292686	6.385781235	6.49291017	6.417298558	6.476990269	6.862063284	6.429469586	6.51358889	6.512094063	6.407765299	6.164090281	6.384845715	6.402458405	6.441874052	6.366449865	6.549523741	6.357053915	6.357542535	6.343428808	6.424277054	6.319544079	6.443533592	6.433892216	6.433988938	6.383148904	6.6518138	6.411281714	6.431473159	6.444289977	6.379569284	6.476130573	6.431497739	6.405300644
