miRNA	N_COLON_1	N_COLON_3	N_COLON_4	N_COLON_5	N_PAN_1	N_KID_1	N_KID_2	N_KID_3	N_BLDR_1	N_PROST_1	N_PROST_2	N_PROST_4	N_PROST_6	N_PROST_7	N_PROST_8	N_UT_8	N_LUNG_1	N_LUNG_3	N_BRST_1	N_BRST_2	N_BRST_3	T_COLON_2	T_COLON_3	T_COLON_4	T_COLON_5	T_COLON_7	T_COLON_9	T_COLON_10	T_PAN_1	T_PAN_2	T_PAN_4	T_PAN_5	T_PAN_6	T_PAN_7	T_PAN_8	T_PAN_9	T_KID_1	T_KID_3	T_KID_4	T_KID_5	T_BLDR_1	T_BLDR_3	T_BLDR_4	T_BLDR_5	T_BLDR_6	T_BLDR_7	T_PROST_1	T_PROST_2	T_PROST_3	T_PROST_4	T_PROST_5	T_PROST_6	T_OVARY_1	T_OVARY_3	T_OVARY_4	T_OVARY_5	T_OVARY_6	T_UT_1	T_UT_2	T_UT_3	T_UT_4	T_UT_5	T_UT_6	T_UT_7	T_UT_8	T_UT_9	T_UT_10	T_LUNG_1	T_LUNG_2	T_LUNG_3	T_LUNG_4	T_LUNG_6	T_MESO_1	T_MESO_2	T_MESO_3	T_MESO_4	T_MESO_5	T_MESO_6	T_MESO_7	T_MESO_8	T_MELA_1	T_MELA_2	T_MELA_3	T_BRST_1	T_BRST_2	T_BRST_3	T_BRST_4	T_BRST_5	T_BRST_6
hsa-miR-26b-5p|MIMAT0000083	11.2534	11.1233	11.2543	11.5299	10.9675	11.919	11.7386	11.8761	11.3296	12.0302	11.9236	12.0373	11.9575	11.7445	11.7838	11.9241	11.6	11.8427	12.0151	11.9697	11.8885	9.33214	11.1067	10.5375	10.7051	10.8339	9.99752	10.2401	11.241	10.592	11.1902	11.506	9.3928	10.6279	10.7731	10.9927	10.8317	10.9735	9.65265	9.40452	11.2883	9.60464	9.50455	11.2913	5.98692	9.83966	10.1292	10.3153	8.4624	10.1902	11.2795	10.7201	8.73866	9.53639	11.3845	11.3656	10.2542	10.4188	12.0472	11.0426	7.91627	11.6167	11.6148	8.40084	9.75097	11.4535	11.4117	9.89241	10.1222	8.42297	10.0635	7.8741	9.49917	7.60902	9.11542	9.74388	8.60359	5.77925	8.84297	5	9.01852	8.52685	8.67565	11.2905	10.6553	10.6305	9.80425	8.67786	10.6673
hsa-miR-136-5p|MIMAT0000448	8.04348	8.17529	8.29255	8.27952	9.00447	8.69107	7.61761	7.85963	9.04861	9.49307	9.48215	9.75941	9.91163	8.23292	8.84367	9.49381	6.74764	7.85631	10.3529	10.8525	10.8032	7.58291	8.79697	6.78524	7.48394	8.31984	7.64542	7.65722	9.76132	7.89437	8.86933	9.33853	7.8846	8.53788	7.75266	8.41742	5	5.6103	5	6.76967	7.70037	8.23322	7.10698	8.24038	5	6.87497	5.92041	5	5	5	8.46937	7.15529	6.19594	8.04814	8.40702	10.2725	7.55918	8.04191	8.48705	6.67011	5	7.89613	9.45976	5.67694	7.24779	7.99461	7.6807	6.19594	6.37386	5.74674	6.3291	6.08332	6.85991	6.3712	6.16776	7.57954	7.3517	5	7.40713	5	7.49561	7.45771	6.46191	7.28304	6.37808	7.16704	6.59121	5.57113	7.88605
hsa-let-7a-5p|MIMAT0000062	12.0092	11.4779	11.923	11.9042	11.9015	11.8283	12.0819	11.8891	12.0935	12.2308	12.2572	12.2291	12.2232	12.1451	12.2052	12.3613	12.5119	12.2194	12.3244	12.277	12.2825	11.5304	11.9522	11.8333	11.5935	12.0575	11.2087	11.71	11.3402	11.7594	12.0562	12.111	11.4019	12.0154	12.1782	12.1906	12.0053	12.1729	11.8397	11.0245	11.7795	10.8545	11.6044	12.1152	8.66478	11.5613	11.6134	11.8203	11.9961	11.6846	11.862	11.9862	10.7375	11.3704	11.4936	11.9713	12.2788	12.0642	12.6252	12.3109	10.9378	12.1696	12.2971	10.5564	12.0013	12.2825	11.947	11.4803	11.5583	11.2123	11.2549	11.416	11.476	10.5774	11.4612	11.8413	10.7974	9.73423	11.1243	9.30995	11.0398	10.3267	10.8458	12.0008	11.9895	11.8759	10.038	11.7298	12.0928
hsa-let-7b-5p|MIMAT0000063	12.0597	11.9112	12.0162	12.0391	11.9837	11.9546	11.9991	12.0279	12.0434	12.2066	12.2202	12.1424	12.0814	11.8158	12.191	12.2261	12.4573	11.9645	12.2445	12.1238	12.1205	12.0754	11.9274	12.2697	11.8448	12.1111	11.5882	11.8247	12.3733	11.9609	12.155	11.9654	11.9575	11.9953	12.2108	12.3336	12.0074	12.0626	12.1283	11.3517	12.0567	11.8563	11.8749	12.1095	9.53323	11.6506	12.0083	11.8127	12.5776	11.7874	11.9888	11.9362	10.8053	11.3253	11.8778	12.0668	12.1923	12.2673	12.6492	12.1847	11.8715	12.1506	12.2193	11.1256	12.2697	12.2198	12.0309	11.6851	11.8496	11.8364	11.6115	12.061	11.4145	11.2817	11.4243	11.907	11.3392	11.024	11.1172	10.0475	11.0709	11.4989	11.2044	12.1243	11.9885	12.0324	11.9322	12.2383	12.1824
hsa-miR-132-3p|MIMAT0000426	6.6123	5	5.4989	5	6.128	6.6019	5.0007	5	6.1489	5.9333	6.0661	6.2576	5.5648	5	5.6811	5.8447	5	5	6.9265	7.9992	7.2655	5.4557	7.2848	5	5.1262	5	5.1639	5	5.7324	5.7119	6.9127	6.797	5	5	5.8572	5	5	5	5	5	5	5.301	5	5	5	5	5	5	5	5	5	5	5	5	5	5.0695	5	5	5.9512	5	5	5	6.1172	5.3008	5.0707	5.8239	5.5765	5	5.4263	5	5	5	6.0712	5	5	5.4623	5.0211	5	5	5	5	5	5	5	5	5	5	5	5
hsa-miR-101-3p|MIMAT0000099	9.4876	9.47113	9.68577	9.82579	9.43007	11.0572	10.0381	9.84962	9.77271	10.8504	10.5518	10.7572	10.6955	10.1014	10.4357	10.5447	9.51331	10.8474	10.9273	11.0685	11.2749	7.61063	8.94853	8.46331	7.70793	8.41938	8.01892	8.22646	9.23957	8.51028	9.72029	10.0151	7.49937	8.70849	9.45822	9.43924	7.53196	8.31701	7.58591	7.60874	10.0803	9.30898	6.71996	8.85901	5	8.13999	6.94419	6.84787	5.92183	6.5247	8.88495	8.15529	6.97031	7.65028	9.27993	9.83725	7.87688	9.65558	10.9658	8.62855	5.51223	10.1962	10.4056	6.44664	7.4209	8.79282	9.08026	7.43621	7.86237	6.10931	7.97422	6.49692	6.82825	5.50446	6.39066	6.92994	6.6771	5	7.0867	5	6.9372	7.28601	7.45813	8.70282	8.55655	8.23883	8.1045	7.7994	8.1944
hsa-miR-105-5p|MIMAT0000102	5.8207	5	5	5	5.5169	5.5381	5.2351	5	5	5.4851	5.6129	5.214	5.4053	5.1507	5.5496	5.5817	5	5.3485	5.7382	5.1905	5.565	5	6.8529	5	5	5	5.0233	5	5.0855	5	5.2036	5.955	5	5.0487	5.176	5.1886	5	5	5	5	5.2604	5.0658	5	5	5	5	5	5	5	5	5	5	5	5	5	5.0554	5	5.0706	5.3061	5	5	5.1345	5.1041	5.0316	5	5.2727	5.1119	5	5	5	5	5	5.3816	5	5	5	5.1466	5	5	5	5	5.4476	5.8957	5	5	5	5	5	5
hsa-miR-106b-5p|MIMAT0000680	6.9399	6.1821	6.4505	8.2373	6.5808	8.0094	5.9196	6.0872	7.7849	7.0188	6.6628	5.8487	6.6343	6.0252	7.274	6.1446	6.3124	7.9544	7.0319	6.9238	6.8834	5.3869	8.0515	5.3822	8.0286	7.7604	8.1107	6.7881	8.6458	5.9853	6.4376	6.5552	5.4277	5	7.9291	5.765	5	5.5044	5	5.2597	9.8538	7.7949	5.6333	6.2935	5	5.3848	6.3009	5	5	5	5.793	6.8898	5	6.2552	7.0661	8.9192	7.8281	5	8.3204	6.8137	5	5.0673	6.187	7.1428	8.1512	8.4789	7.5215	8.1103	6.3991	5.3258	5.6319	6.0124	8.486	5	5.0458	5	5	5	5.9781	5	6.3865	5.9457	5.9559	5.8848	7.8702	6.8773	6.8354	5	5.3512
hsa-miR-126-3p|MIMAT0000445	11.0622	10.8565	10.5148	11.0503	10.1499	11.7214	11.5244	11.7052	10.9795	11.619	10.9992	11.4372	11.1827	10.84	11.3253	11.8996	12.3527	11.9182	11.7949	11.7787	11.6929	9.96648	10.5403	8.88011	9.70073	9.62757	9.82752	9.52807	9.23636	10.5545	10.91	11.3949	7.50592	9.37889	10.323	9.17323	7.17843	11.5621	10.3649	9.63976	9.81012	9.47661	8.92422	10.0283	6.91219	9.8128	9.04578	7.95844	8.10363	8.8271	9.52238	10.0902	7.44091	7.27358	8.01053	9.75037	8.21509	10.5928	11.7518	9.43082	6.32073	9.35169	11.4231	8.24206	8.78997	9.43821	10.1292	10.2995	10.9316	8.98003	10.3678	8.512	9.17052	6.16594	9.18275	9.84063	6.90345	6.01192	8.41757	5.29408	8.6296	9.1888	8.24094	9.31588	9.88672	9.31277	7.62658	8.21828	10.2085
hsa-miR-127-3p|MIMAT0000446	6.0186	5	5	5	5.9921	5.663	5	5	6.2703	5.1533	5.5074	5	5.0454	5	5.9481	5.683	5	5	6.1696	6.1813	5.4363	5	7.3533	5	5	5	5.0912	5	6.9975	5	5.8052	5.4665	5	5	5	5	5	5	5.0732	5	6.2026	6.1743	5	5.1408	5	5	5	5	5	5	5	5	5	5	5	6.3487	5	5	6.3881	5	5	5	5	6.0681	5.3848	5.7893	5.2229	6.0992	5	5.211	5	5	6.7266	5	5	6.1062	5	5	5	5	5.3106	5	5	5	5.2273	5.6953	5	5	5.4443
