miRNA	N_COLON_1	N_COLON_3	N_COLON_4	N_COLON_5	N_PAN_1	N_KID_1	N_KID_2	N_KID_3	N_BLDR_1	N_PROST_1	N_PROST_2	N_PROST_4	N_PROST_6	N_PROST_7	N_PROST_8	N_UT_8	N_LUNG_1	N_LUNG_3	N_BRST_1	N_BRST_2	N_BRST_3	T_COLON_2	T_COLON_3	T_COLON_4	T_COLON_5	T_COLON_7	T_COLON_9	T_COLON_10	T_PAN_1	T_PAN_2	T_PAN_4	T_PAN_5	T_PAN_6	T_PAN_7	T_PAN_8	T_PAN_9	T_KID_1	T_KID_3	T_KID_4	T_KID_5	T_BLDR_1	T_BLDR_3	T_BLDR_4	T_BLDR_5	T_BLDR_6	T_BLDR_7	T_PROST_1	T_PROST_2	T_PROST_3	T_PROST_4	T_PROST_5	T_PROST_6	T_OVARY_1	T_OVARY_3	T_OVARY_4	T_OVARY_5	T_OVARY_6	T_UT_1	T_UT_2	T_UT_3	T_UT_4	T_UT_5	T_UT_6	T_UT_7	T_UT_8	T_UT_9	T_UT_10	T_LUNG_1	T_LUNG_2	T_LUNG_3	T_LUNG_4	T_LUNG_6	T_MESO_1	T_MESO_2	T_MESO_3	T_MESO_4	T_MESO_5	T_MESO_6	T_MESO_7	T_MESO_8	T_MELA_1	T_MELA_2	T_MELA_3	T_BRST_1	T_BRST_2	T_BRST_3	T_BRST_4	T_BRST_5	T_BRST_6
hsa-miR-147a|MIMAT0000251	5.1738	5	5	5	5	5.5554	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6.5495	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6.1878	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
hsa-miR-155-5p|MIMAT0000646	6.8625	5.5767	6.7097	6.5768	5	6.4737	5	5	5.5833	6.5666	6.4105	6.556	6.5897	5.4402	5.9179	5.3395	5	6.7061	6.1334	5.8959	5.7389	6.7728	7.0217	6.8642	6.6691	5	6.5611	6.0468	6.0616	5.6539	7.3915	7.7156	5	5.7505	6.3733	5	5	5.177	5.1162	5	7.4065	6.506	5.3327	5	5	5.2169	5	5	5	5	5.8605	5.6065	5	5	5	5	5.0892	5	6.6311	5	5	5	5	5.1891	5	5.6878	6.9916	6.6468	6.8524	5.1851	6.9641	5.3843	6.4358	5	6.2868	7.2349	6.1796	5	5	5	5.2711	5.1698	5.9613	7.119	5	5.7618	5.8092	5	5.8069
hsa-miR-17-3p|MIMAT0000071	6.4415	5.1339	5.7097	5.5671	6.5069	7.2911	5.4896	5.6742	6.7273	7.313	6.9133	6.546	6.2626	5.8498	6.4961	6.4187	5.533	6.8531	7.6527	7.7477	6.9183	6.2942	7.6885	5.4058	6.9538	6.533	6.5551	5	6.6418	5.1326	6.5869	6.0077	5.1217	5	5.5275	5.5512	5	5	5	5	7.3073	6.5225	5.2971	5.4315	5	5	5	5	5	5	5.2556	5.08	5	6.039	7.6263	7.1774	5.7126	6.0024	6.7711	7.7724	5.2022	5	6.277	5.5791	6.2535	6.0097	7.2229	5	5	5	5	5	5.3039	5	5	5.1812	5	5	5	5	5	5.3375	6.3316	6.205	5	6.0759	5	5	6.0463
hsa-miR-182-3p|MIMAT0000260	6.0133	5	5	5	5	5	5	5	5	5.2552	6.1486	5	5.0333	5	5	5.2182	5.1673	5	5.0998	5	5	5	6.8428	5	5	5	5.3897	5	5.5992	5	5	5	5	5	5	5	5	5	5	5	6.1076	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5.6144	5	5	5	5.3609	5	5	5.483	5	5.4651	5.7874	5	5	5	6.1297	5	5	5	5	5	5.1321	5	5	5	5	5.4532	5.5372	5	5	5
hsa-miR-24-1-5p|MIMAT0000079	6.05	5.1056	5.5563	5.4451	5.594	6.8355	5.3055	5.5176	5	7.4266	7.287	7.236	7.2339	5.9657	7.1432	7.1862	5	5.9691	5.5765	5.3878	5	5	6.6384	5	5.6088	5	5.0146	5.1008	5.4523	5	6.0411	6.4611	5	5	5	5.5105	5	5	5	5	5.7974	5.8732	5	5	5	5	5	5	5	5	6.034	5	5	5.105	5.6843	5	5	5.2053	6.694	5	5	6.6523	6.4261	5.2854	5	5.7539	5.5051	5	5	5	5	5	5	5	5	5.1993	5	5	5	5	5	5	5	5	5	5	5	5	5
hsa-miR-200b-3p|MIMAT0000318	10.3626	9.15732	9.83318	10.3082	10.4332	10.0872	8.57347	8.61639	10.3557	10.634	10.1548	9.30295	9.49439	9.24183	10.277	5	7.93447	9.64772	9.82671	10.3222	9.81482	8.72156	9.94299	10.4502	11.2066	9.72417	9.70826	9.43227	8.84465	9.74556	10.723	8.14861	8.51026	9.20263	9.08124	10.8489	7.40524	5.18616	5	5	11.6689	8.67806	8.66861	7.0443	7.11621	8.52381	9.8432	9.63842	8.56902	9.8635	8.21495	8.64333	8.89405	8.63615	10.3533	9.8758	9.56094	7.78784	10.5296	11.4896	9.36554	5	5.5707	7.98938	9.01603	11.3874	11.0536	8.988	8.70744	8.67429	8.31899	8.57492	5.26026	6.33454	5	5	5	5	5	5	5	5	5	9.95894	10.4957	9.09536	8.33124	8.80817	9.4451
hsa-miR-185-5p|MIMAT0000455	6.8916	5	5.9429	6.4451	6.7164	8.1173	5.7853	6.2454	6.7076	7.0052	7.2794	6.1949	7.1215	5.9401	6.9281	7.6332	6.743	8.3995	7.0443	7.518	7.2601	5.5273	7.4368	5	6.0776	5.8095	5.9881	5.8462	6.9091	6.0361	8.1029	7.5628	5	5.8734	6.437	6.2267	5	5.2487	5	5.6283	7.9076	6.3512	5.9409	5	5	5.0587	5	5	5	5	5	5.9915	5	5	5.6263	5.8587	5	5	6.6032	6.6409	5	5	5.7904	5.1556	5.0311	6.8171	6.4222	6.4579	7.2153	5.9394	6.0329	5.0002	6.1139	5	5.4058	6.9053	5.5312	5	5	5	5	5.6804	6.2768	5.9178	5.3447	5.6398	5	5.6707	6.4824
hsa-miR-184|MIMAT0000454	5	5	5	5	5	5.8808	5	5	5	5	5	5	5.4694	5	5	5	5	5	5	5	5	5	5.5743	5	5	5	5	5	5	5	5	5	5	5	5	5.4036	5	5	5	6.1005	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6.1167	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
hsa-miR-200c-3p|MIMAT0000617	10.4985	9.73833	10.1123	10.7375	11.4428	9.98586	8.49606	8.76391	11.1499	11.2487	10.8197	10.2571	10.5438	9.81371	10.9264	5	9.31622	10.7346	10.7043	11.3217	10.9673	9.11257	10.305	11.0335	10.6962	10.5655	10.3153	9.77905	9.21551	10.6852	11.0223	8.77796	8.9669	9.82336	10.1618	10.8253	5.97412	5	5	5	12.0653	9.18224	9.79819	8.13417	7.77381	9.46811	10.7523	10.348	9.38607	10.9504	9.09143	9.81417	10.0833	9.53524	11.2821	11.3348	10.1236	8.80419	11.1766	11.9601	10.4837	5	6.39128	9.13679	10.352	11.6454	11.607	9.6171	9.57992	9.32499	9.32925	9.73102	5.31176	8.18124	5	5.6329	5	5	5	5	5	5	5	10.8534	11.1415	10.1038	9.41369	10.0393	10.1262
hsa-miR-224-5p|MIMAT0000281	8.1253	7.522	7.6781	7.4123	7.8432	8.0188	7.0363	7.1856	7.9328	8.2102	8.0809	7.6756	7.9997	7.5089	8.0862	8.0661	7.8026	7.9803	8.2831	8.2691	7.5807	7.2669	7.9184	7.0553	7.8028	7.9559	7.6556	8.1888	8.5043	7.894	8.5859	7.631	7.5262	7.394	7.3167	8.0747	5	7.061	7.164	6.4651	7.5481	9.5764	8.8203	7.4025	5.4519	7.3245	7.6986	7.4714	8.0192	7.6542	7.5404	8.2187	6.9426	7.5549	7.5523	7.8393	9.2605	8.2272	8.2678	7.5906	6.0528	7.4945	7.6447	8.0522	7.613	7.563	7.4698	8.1243	7.6387	8.8979	7.447	7.3001	8.0717	8.1855	7.2901	8.3841	7.4974	7.417	7.3461	6.7517	7.2816	7.6004	6.7434	8.1854	6.9977	7.436	7.0741	6.8368	6.9042
hsa-miR-25-3p|MIMAT0000081	9.32346	7.87615	8.61368	8.48169	9.59155	9.72484	8.43711	8.21764	8.91466	9.47815	9.03938	8.65203	9.25688	7.89364	8.98228	8.74311	8.49181	9.45623	9.4601	9.67753	9.33277	8.16067	7.69286	7.29599	8.71296	8.38504	9.10763	8.26415	8.1667	8.34021	9.61031	8.90673	7.62616	8.07998	8.13279	7.69588	7.49171	7.28928	6.87798	7.7713	11.1701	8.22665	7.69608	6.34142	5.44176	7.7809	7.92311	7.3144	6.4292	8.3218	7.63247	7.98148	7.41087	6.98181	8.38094	8.87385	7.90047	8.2031	9.16176	9.71188	7.32077	7.59344	8.36358	8.13884	8.14564	8.45409	9.94218	8.2067	8.67757	8.57205	8.16126	7.64017	8.14884	6.53298	7.24999	8.73974	7.95981	7.51405	7.54948	6.66744	8.193	7.91874	9.28168	8.27128	8.31596	8.06014	7.60092	6.92518	9.02822
hsa-miR-27a-3p|MIMAT0000084	11.6185	11.9434	11.7758	11.7205	11.3568	11.8364	11.5433	11.6416	11.3824	11.8109	11.676	11.72	11.7754	11.3844	11.8243	11.7239	11.6753	11.7561	11.6213	11.8289	11.7667	11.2936	11.255	10.2856	11.7623	11.8633	11.4288	11.6932	11.8436	11.7574	11.6444	11.8127	11.1607	11.1434	11.2815	11.4647	9.48403	9.98192	9.47136	10.0237	11.6604	11.6597	11.587	10.2532	8.83117	11.2908	10.3728	9.92842	9.59155	10.2668	11.4856	10.9231	10.6097	11.7243	11.7179	10.8428	10.7772	11.4957	12.0573	11.3346	9.61139	11.5853	11.6483	11.9202	10.9915	11.8212	11.5524	10.0883	11.0268	10.5366	11.0462	10.7661	11.1657	9.11941	10.5467	11.2062	9.88246	7.80061	9.63757	7.02579	10.973	11.3279	11.1259	10.9537	11.1592	10.0566	10.396	8.91712	10.6694
hsa-miR-296-5p|MIMAT0000690	7.8295	7.4587	7.521	7.3452	7.9259	7.9416	7.3576	7.3962	7.5968	7.9073	7.8105	7.5011	7.7798	7.138	7.815	7.7679	7.965	7.5963	7.8718	7.6755	7.4863	7.3272	7.3565	7.916	7.4638	7.6836	7.7224	7.7102	8.2045	7.5953	7.6799	7.611	7.4778	7.427	7.6442	7.7208	7.0174	7.102	7.5208	7.534	8.3214	7.8076	7.3612	7.3734	7.4669	7.5093	7.4261	7.1935	7.8797	7.137	7.2434	7.3684	7.1594	7.4113	7.5482	7.4301	8.0772	7.7623	8.4231	7.3222	7.3452	7.3953	7.5401	7.5944	7.5622	7.8354	7.7334	7.9239	7.5181	8.7709	7.4972	7.472	8.173	7.0867	7.4345	8.2023	7.7555	6.8321	7.0196	6.5009	7.4126	8.0695	7.1542	7.6287	7.3683	7.7159	7.8368	7.4294	7.2755
hsa-miR-299-3p|MIMAT0000687	6.7564	6.1851	6.3838	6.5075	6.8105	6.8967	6.1575	6.1219	6.4142	6.9498	6.8605	6.5506	6.6834	6.1543	6.7344	6.6544	6.4521	6.4522	7.0372	7.1862	6.8685	6.2849	6.0788	6.3482	6.4911	6.577	6.391	6.2642	7.3422	6.1802	6.7556	6.6288	6.0699	6.2368	6.1703	6.5791	5.4744	5.2875	5.2349	6.1412	7.3735	7.2575	5.9008	6.1059	5.8234	6.179	5.7408	5.4448	5.6331	5.4554	6.3149	6.3067	5.888	6.544	6.416	6.7455	6.8903	7.1419	7.4774	6.2471	5.2589	6.0125	6.3755	7.0169	6.3391	6.6	6.3777	6.5481	5.9411	7.8081	5.9537	6.1359	6.6723	6.2513	5.7287	7.3852	6.5442	5	6.1521	5.0716	6.3426	6.7576	5.5798	6.4504	6.8349	6.7659	6.6291	6.3755	5.7714
hsa-miR-301a-3p|MIMAT0000688	6.8594	6.1676	6.5146	6.6533	6.315	8.0499	6.8571	7.0689	6.3833	7.6467	7.5351	7.1057	7.4172	7.0364	7.3462	7.3169	6.3723	7.0609	7.4382	7.6427	7.5142	5	6.0788	5	5.9721	5.3314	5.7741	5.8577	7.1595	5.2829	6.5205	7.0249	5.3758	6.1439	6.4497	6.4566	5	5.517	5.1326	5.7996	7.6359	6.7771	5.0507	6.2944	5	5.8051	6.6284	6.4448	7.0612	6.4271	6.7058	5.6219	5.1926	6.522	7.1943	7.4577	6.2426	7.4517	8.3208	7.5341	5.9346	6.7891	6.9194	7.3468	5.9866	7.6073	7.654	6.0078	6.0045	7.6157	5.268	5	6.0327	5	5	7.1575	5.2675	5	5	5	5	6.0838	6.8013	6.1703	6.7188	6.0254	6.2599	5	5.4565
hsa-miR-302a-3p|MIMAT0000684	7.8552	7.2966	7.6167	7.4232	7.7601	8.0335	7.2638	7.2514	7.6561	7.9155	7.8526	7.5616	7.7173	6.9459	7.6412	7.588	7.5795	7.9968	7.9542	8.0453	7.6246	6.9157	7.1447	7.3596	7.5827	7.6577	7.5062	7.02	7.2458	6.935	7.8315	7.5113	6.5283	6.7036	7.2306	6.9144	6.9905	6.5647	6.5529	6.4962	8.0704	7.573	7.2785	6.1956	5	6.6598	7.1907	6.7571	6.62	7.1016	6.9554	7.0473	5.566	7.1231	7.6916	7.9208	6.9795	7.3955	8.1013	7.4772	6.2959	6.5501	7.338	7.3749	6.9726	7.4821	7.7034	6.7399	7.4064	8.2283	7.0637	7.1612	7.0696	5.9077	6.3761	7.9284	6.5198	5.4945	5.5812	6.0879	6.7263	6.9458	7.3952	6.976	6.9977	7.2121	6.5027	7.0285	6.6068
hsa-miR-30a-3p|MIMAT0000088	11.264	11.5588	11.3803	11.4574	11.5106	12.2255	12.2245	12.18	11.6596	11.8511	11.7027	11.9225	11.989	11.0023	11.967	11.7092	12.5247	12.1044	11.9088	12.1447	11.9139	9.71839	10.8571	9.3063	10.6337	10.6969	10.6324	10.3653	11.6	11.1439	11.1278	11.4822	9.70325	10.363	10.0927	11.2981	12.2025	10.9294	9.84275	10.7209	11.8849	10.7766	9.71529	10.9633	6.78386	10.2387	10.8243	10.0141	9.45818	10.7944	11.2987	11.0395	9.37249	9.9022	11.3778	11.2002	10.5435	10.9457	11.3853	10.9249	9.22751	10.8225	11.1915	9.54255	10.326	11.7118	11.2957	10.8554	10.6363	9.86716	10.759	8.97072	10.2769	8.15997	10.0599	10.7814	10.453	9.70041	9.49781	6.62339	9.67454	10.4327	11.2364	11.2738	11.8701	11.8059	10.986	10.7279	10.8222
hsa-miR-30e-5p|MIMAT0000692	10.2165	11.1245	10.6671	10.5679	10.4013	11.6147	10.9071	10.9038	9.79666	11.0039	10.7897	10.8308	11.0069	9.48585	11.0192	10.2753	9.83384	10.8222	10.7332	10.7723	10.6872	8.1733	8.40072	8.31654	9.15757	8.78586	9.21451	8.77147	10.3855	9.08685	9.67104	10.4438	7.52828	8.47416	8.48354	8.88417	8.6094	7.54253	7.04227	9.39844	11.7898	10.467	7.90868	8.30869	6.48183	8.62362	8.05853	7.6331	7.66555	7.69249	9.64423	8.49012	7.95956	8.31979	9.52612	9.92535	8.61336	9.69533	10.38	9.40284	7.34082	9.87074	9.57105	8.24942	8.28172	10.4619	9.42586	7.94578	8.09925	8.65703	8.32312	6.85118	8.44993	7.29357	7.56834	8.70439	7.78852	7.17258	7.51706	6.00448	8.58399	8.47507	9.36538	8.77636	8.93836	8.77896	8.84384	7.84062	8.81778
hsa-miR-31-5p|MIMAT0000089	6.37949	5.64295	7.18863	6.19449	6.64669	9.41822	7.60935	8.77885	6.92609	9.45374	9.42267	8.17913	7.97699	8.73179	9.02095	5.57249	5.88097	7.15942	9.53482	9.90125	9.51635	10.5719	6.80847	7.61081	9.21955	5.97351	5.22739	6.77223	7.5889	9.60997	11.3825	7.43998	6.68111	9.45202	8.60483	10.3556	9.90063	5	6.01663	5	11.5575	10.6969	11.0747	9.09288	5	8.82604	6.97617	7.88214	6.93392	6.94688	7.26164	5	7.43532	8.60604	9.08762	6.53304	8.16647	6.61814	7.4556	7.13143	6.07424	5.37173	6.26004	7.53944	7.02125	7.84775	7.9486	5.79919	5.87124	7.71414	8.73795	6.52379	8.53623	6.46985	7.32911	8.49221	6.83279	5	5	6.56636	5	6.03138	6.09373	7.8301	5.89121	6.26277	6.30136	5	6.28549
hsa-miR-32-5p|MIMAT0000090	7.9486	7.721	7.7506	7.934	7.6918	9.2141	8.4663	8.011	7.7871	8.5598	8.1622	7.9881	8.0477	7.5479	8.0078	7.7679	7.8497	8.3808	7.795	8.0339	7.9127	6.5989	7.2522	7.2294	7.1323	7.287	7.1952	7.4952	6.8225	6.3104	6.691	7.8173	5.8023	6.3746	6.4084	6.7113	5.5863	5.7096	5	6.614	8.8958	7.4946	6.9139	7.2896	5	7.3699	6.6396	6.5103	6.8118	6.7161	7.2751	6.2499	6.3661	6.9359	6.7244	7.5714	8.4161	7.3889	8.973	7.5727	5.0033	7.0604	7.1531	6.9294	6.2888	7.7913	8.1559	6.2112	6.0527	7.6056	5.453	5	6.53	5	5.1783	7.1494	5.5247	5	5.3553	5	5.6967	7.3521	5.4548	7.0699	7.2516	6.4492	5.5624	5.2782	6.3626
hsa-miR-34b-5p|MIMAT0000685	8.35569	7.98997	8.07148	8.14108	8.32294	9.09405	7.93563	8.19554	8.22263	8.94082	9.03895	8.7755	9.04648	8.37838	8.66738	8.52326	9.21439	10.325	8.82393	8.74203	8.55197	7.27051	7.59647	7.05874	7.70425	8.04523	7.38469	7.63367	8.50528	7.88624	8.64057	8.58617	7.50747	7.90651	8.00554	8.22699	7.53512	7.02305	6.83625	7.85895	8.16394	8.38012	7.2663	7.38245	5.3581	7.16972	7.54277	7.37898	7.53827	7.42228	7.86309	7.61891	7.88035	8.23568	8.24046	8.21811	7.99628	8.92483	9.31754	11.003	6.58455	8.13503	9.10772	7.62398	8.88699	8.48803	9.71323	7.63938	7.92913	8.3414	8.03797	7.65987	8.20359	7.29357	7.41721	8.67096	7.62421	7.32048	7.44421	5.4948	6.53048	8.30132	7.48877	7.29788	7.04516	7.24777	6.88826	6.76681	7.09896
hsa-miR-34c-5p|MIMAT0000686	7.32538	7.21378	7.49521	7.19767	5.87686	7.04644	5.85338	6.03055	7.19179	7.60932	7.41163	7.3414	7.6455	6.62867	6.75744	6.55363	9.17291	10.6776	7.41302	7.47775	7.33578	6.71241	6.63227	7.34253	6.99137	7.40595	6.88588	7.20912	7.42654	6.91976	7.81138	8.00803	6.14729	7.10161	7.29708	6.82527	5.95757	5	5.4963	5.86639	7.66406	7.63822	6.51013	6.82421	5	6.71844	5.04344	5	5.49563	5	6.45992	6.94144	6.09947	6.63712	5.95096	6.55872	7.31678	8.11236	9.49238	11.4871	6.77345	5.83805	7.86396	7.13267	9.49491	8.36662	10.2649	6.78307	6.77885	8.13383	6.87551	6.2584	6.84506	5.48361	5.83224	7.28567	7.03924	5.54604	5.56013	5.22687	6.53048	7.19932	7.21631	7.51869	5.92968	6.63745	6.74959	6.19771	6.53637
hsa-miR-93-5p|MIMAT0000093	9.59332	9.49188	9.89494	9.23213	8.52788	9.91655	8.44324	8.7344	8.60516	9.52846	9.3711	9.13407	9.31032	8.19804	9.28795	8.53292	8.48775	9.21332	9.15442	9.53873	9.37023	8.33849	8.3196	7.92367	10.483	8.78486	10.0775	8.81709	9.33157	8.53582	9.33741	9.3435	7.91092	7.46083	7.02782	7.90104	6.99049	6.98192	6.23491	9.06828	12.2627	9.52095	8.61816	6.72136	7.3953	8.68453	8.22456	7.15963	6.24409	8.04353	8.22151	7.57031	8.0607	8.49283	9.92019	9.5756	9.04074	7.99189	9.51612	9.91864	7.43917	7.62961	8.29538	8.60182	8.12987	10.1917	10.5081	8.55052	8.9218	8.62065	8.3579	7.63293	8.05452	6.59346	7.95805	9.13721	7.9062	6.42739	7.23422	5.82161	8.88393	8.70834	9.82472	8.94529	8.8076	8.25779	9.12448	7.23275	8.44621
hsa-miR-95-3p|MIMAT0000094	6.5038	5.8833	5.6137	6.3105	6.5353	6.7984	6.1335	5.9969	6.3558	5.995	5.8307	6.2353	5.8172	5.1174	6.0375	6.0695	5.9136	6.5745	6.2466	6.1586	6.3261	5	5.7214	5.8082	6.2083	6.4008	6.3065	5.3234	7.286	5	6.6234	6.7231	5.5075	6.0222	5.7093	6.0477	5	5.0145	5	6.0184	6.6044	6.7412	5	5.5318	5	5	5	5	5.1556	5	5	5	5	5.0603	5.4025	6.0741	6.3206	6.6542	7.1618	6.5154	5	5	5.5495	7.2664	5.784	6.3275	6.0924	6.1869	5.4598	8.2323	5.0239	5.4057	6.5669	5	5	7.6615	5.6104	5	5.5388	5.1667	5	6.3687	5	5.7185	5.9485	5.4316	5	5	5.6381
hsa-miR-99b-5p|MIMAT0000689	8.2532	7.5826	8.1333	7.9071	7.7087	9.3164	8.0524	7.9969	7.9368	8.9297	8.974	8.7698	9.2368	8.1643	9.1421	9.3308	8.2531	9.1533	8.714	9.0199	8.4289	7.2376	7.7181	5.4527	7.2999	7.6044	7.0707	6.9626	8.55	7.6547	8.8835	8.7679	7.2907	7.8892	8.104	8.2162	5.4744	7.3122	7.5086	7.0343	8.449	8.0372	7.1066	7.8242	5	7.2336	7.9832	7.8287	8.2268	7.7923	7.9158	8.2128	6.4196	7.2757	8.3798	8.6331	6.6576	8.6132	8.4531	8.3647	5.911	8.5914	9.0542	7.6701	7.49	7.9372	8.4964	7.4172	8.0962	8.5544	7.453	7.7875	8.1066	7.7344	7.8751	9.0874	6.9249	6.7466	7.8036	7.1971	7.9244	7.537	7.272	7.3996	6.8383	7.4923	7.3014	6.8963	7.1615
hsa-miR-129-5p|MIMAT0000242	5.16	5	5	5	5.6389	5.8206	5	5	5	5.1934	5	5	5	5	5	5.0958	5	5	5.1062	5.0377	5	5	5	5	5	5	5	5	5.8614	5	5.38	5	5	5	5	5	5	5	5	5	5.8469	6.3447	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5.5432	5.9877	5	5	5	5	6.7583	5	5	5	5	5	7.7958	5	5	5.43	5	5	6.8241	5	5	5	5	5	5.2664	5	5	5	5	5	5	5
