miRNA	BT_549	HS578T	MDA_MB_231	T47D	SF_268	SF_295	SF_539	SNB_19	SNB_75	U251	COLO205	HCC_2998	HCT_15	KM12	SW_620	A549	EKVX	HOP_62	HOP_92	NCI_H226	NCI_H23	NCI_H322M	NCI_H460	NCI_H522	CCRF_CEM	HL_60	MOLT_4	RPMI_8226	SR	LOXIMVI	M14	MALME_3M	MDA_MB_435	SK_MEL_28	SK_MEL_5	UACC_257	UACC_62	IGROV1	NCI_ADR_RES	OVCAR_3	OVCAR_4	OVCAR_5	OVCAR_8	SK_OV_3	DU_145	PC_3	786_0	A498	ACHN	RXF_393	SN12C	TK_10	UO_31	CAKI_1	HCT_116	HT29	K_562	MCF7	SK_MEL_2
hsa-miR-654-5p|MIMAT0003330	6.386568602	6.219561347	6.182257955	6.315994357	6.281828983	6.173980843	6.095818213	6.229938298	6.335812856	6.206814007	6.150530904	6.296098544	6.220800795	6.303361114	6.304766738	6.248845645	6.283044641	6.282680933	6.195379098	6.158376437	6.148118155	6.281348566	6.272649923	6.262439244	6.531153899	6.141874899	6.352575609	6.377173806	6.334395946	6.521755148	6.200277946	6.153206559	6.317374286	6.529883782	6.450791688	6.247400641	6.271117456	6.097291573	6.339962637	6.128310083	6.146993242	6.289669839	6.311648669	6.225621897	6.167850812	6.221355873	6.159548044	6.211352626	6.317809354	6.212261881	6.204819369	6.357042905	6.29696905	6.17126361	6.335123614	6.261965466	6.132237611	6.267215148	6.27984782
hsa-miR-655-3p|MIMAT0003331	6.276745547	6.321983068	6.334135069	6.236528753	6.351530305	6.339201172	6.264540564	6.344345904	6.243897327	6.317993256	6.276822576	6.331449509	6.357793988	6.315432751	6.325770288	6.386578467	6.321382385	6.378810336	6.41542431	6.334381702	6.390289414	6.341805006	6.337965435	6.363649453	6.532975457	6.20438687	6.292485974	6.226468491	6.361789543	6.230768283	6.400270548	6.388796184	6.316927052	6.272250602	6.240433861	6.328038002	6.236708945	6.314086586	6.090184868	6.290378347	6.307556025	6.218703144	6.290410244	6.272409499	6.247028998	6.334068075	6.296979613	6.238795617	6.342713247	6.304391963	6.353281525	6.267380411	6.31895952	6.378890574	6.323364844	6.333982565	6.331114898	6.306273402	6.279167021
hsa-miR-656-3p|MIMAT0003332	6.382193206	6.372268755	6.343775929	6.367325556	6.347739512	6.53374923	6.422809108	6.448924952	6.492286679	6.542480464	6.302089835	6.447401935	6.431900666	6.398476763	6.293672644	6.373105105	6.329946862	6.372934428	6.334949259	6.461321017	6.34810598	6.53408138	6.333746883	6.294096366	6.11192724	6.194820359	6.281192403	6.444295985	6.271009061	6.364469064	6.417060988	6.295637038	6.455526231	6.405498756	6.383534224	6.281927526	6.396484097	6.359525509	6.333969301	6.307324571	6.477301878	6.43188302	6.349207052	6.363189316	6.474404307	6.421658385	6.393795538	6.239732973	6.458105165	6.300644854	6.374789359	6.339506696	6.367424205	6.370348608	6.445455197	6.442035444	6.339582255	6.391228351	6.329575423
hsa-miR-657|MIMAT0003335	6.355045998	6.427610617	6.401421916	6.512102206	6.451379206	6.328509392	6.345274178	6.394410103	6.355573719	6.369959875	6.38841269	6.479390333	6.396255832	6.365231673	6.400045003	6.367598191	6.419191575	6.373676982	6.392459945	6.372276424	6.427136036	6.4269548	6.40566947	6.476898111	6.222251995	6.381106347	6.48621161	6.493348533	6.450509646	6.384393086	6.357463758	7.372069776	6.432411574	6.450501735	6.457514461	6.59078397	6.371715697	6.40705345	6.418346087	6.432547436	6.374035615	6.406920702	6.366506533	6.375942489	6.433936329	6.352796342	6.357322407	6.520911569	6.378595755	6.321733421	6.382122517	6.383235109	6.324580703	6.394989623	6.347262881	6.345390861	6.301046912	6.397994495	6.423281227
hsa-miR-658|MIMAT0003336	8.523058221	8.384120321	8.402566539	9.001753212	8.786331061	8.555337614	8.280964595	8.393879013	8.371653295	8.222036883	8.350078884	8.165375613	8.147943317	8.006889102	8.338559039	8.576528468	8.655541436	8.418665333	8.542706967	8.176407455	8.66748172	8.25184173	8.876006766	8.447228138	9.438304034	8.065630937	8.785260721	9.442215764	9.256894902	8.49730244	8.35220426	8.579321126	8.296536384	8.383843512	8.51202209	8.592711612	8.611845939	8.384244766	8.237049003	8.46418571	8.384307968	8.570385853	8.483681905	8.60025527	8.022377326	8.352995967	8.358941523	9.249827608	8.239087266	8.412259644	8.398668478	8.782406724	8.058294481	8.51575363	7.978211092	8.022591079	8.691378989	8.229466443	8.377808578
hsa-miR-659-3p|MIMAT0003337	7.168677476	7.354342161	7.373576877	6.896312644	7.354538387	7.115089855	7.122072476	7.341131002	7.118619624	7.19523694	7.079408323	7.059184599	7.236913061	7.1303558	6.963709135	7.468405554	7.325421104	7.270152672	7.580208625	7.264085848	7.510887803	7.107663571	7.274723608	7.134360691	7.255231793	7.180631268	7.204936649	7.061981652	7.579738861	7.120560547	7.402278538	7.304995314	7.034540124	7.024355259	6.966729896	7.524876837	7.076264621	7.089197059	6.811426926	6.968143536	7.151461708	7.178845841	7.114613668	7.619380139	7.037293813	7.058212292	7.233501361	7.176514217	7.04987881	7.148044631	7.305733448	7.502488552	7.047881749	7.4770191	7.196562862	7.1650928	7.300109423	7.22979746	7.13698237
hsa-miR-660-5p|MIMAT0003338	7.465883301	6.656143685	6.651629937	6.864898245	6.648949012	6.580561655	6.547001395	6.64073443	6.807219081	6.680542138	7.00724741	6.976943322	6.695154954	7.100116833	6.701926409	6.678465807	6.683429683	6.577571342	6.695418025	7.025892693	6.833707033	7.027517679	6.678755239	7.315930379	6.326202226	6.571560758	6.680017117	6.637215654	6.743973143	6.648485155	7.110527305	6.702977203	7.048316548	6.98801373	7.208670535	6.751791229	6.893187866	6.82886959	6.467428828	6.717260798	6.677079394	6.668564368	6.561092436	6.594317415	6.726716972	6.770343256	6.657593732	6.552950413	6.530709471	6.685564434	6.765801075	6.472123131	6.524191319	6.597789528	6.745156301	6.608636974	6.88945661	6.624759695	7.272399458
hsa-miR-661|MIMAT0003324	6.303670316	6.325077598	6.337955066	6.23712994	6.345265506	6.292364027	6.274362405	6.318546928	6.249372394	6.307902846	6.232574907	6.229680027	6.393839973	6.335917824	6.2574795	6.34824484	6.306944872	6.268940078	6.371007141	6.321957825	6.399387087	6.290189388	6.335218968	6.349702132	6.373580738	6.237833219	6.397210093	6.307379929	6.890877687	6.325918001	6.190899584	6.40366174	6.354558539	6.337288616	6.255008322	6.373444648	6.257402801	6.279156416	6.249090837	6.264022454	6.378038507	6.327890813	6.291923449	6.402430038	6.380011815	6.315209726	6.371663727	6.260346352	6.326484161	6.228475023	6.323528917	6.314295538	6.286579029	6.257001169	6.367217145	6.329544104	6.408889528	6.345456285	6.285233285
hsa-miR-662|MIMAT0003325	6.410479143	6.385912862	6.360876224	6.095874798	6.369493958	6.289202814	6.315678757	6.377621735	6.264247992	6.332404384	6.306667845	6.33677865	6.381115571	6.358040438	6.407804456	6.368279752	6.377019253	6.267339055	6.360857482	6.350695365	6.363669041	6.363133613	6.374668757	6.72054562	6.476803704	6.224983979	6.380600192	6.414312362	6.349344381	6.367789254	6.337322312	6.311433421	6.387998986	6.44308444	6.247058295	6.410898529	6.353075858	6.320744315	6.332476154	6.245907826	6.241748256	6.317426488	6.359345764	6.309242649	6.363030322	6.321704237	6.373973048	6.2446698	6.29839885	6.274636642	6.335154298	6.358676089	6.332121212	6.338082606	6.376003807	6.369578506	6.355860096	6.391061645	6.254532898
hsa-miR-663a|MIMAT0003326	8.863220665	8.663909589	7.935740211	8.92435276	7.961295746	7.192859572	8.317547588	7.341709317	8.48190766	7.830250232	7.479346284	8.03370397	7.766008534	7.87257427	7.771374352	8.533730092	8.113325556	8.138526353	7.921561548	8.108085027	8.472642688	8.068689335	7.797920316	8.054059009	8.040850976	7.961373103	8.646086452	8.893503991	9.805631123	10.17606373	7.821814108	8.380672786	8.134790561	8.948438074	9.063319467	8.034833831	8.015223627	7.582115249	7.993826117	7.3869041	7.711315765	8.116858446	8.904227169	8.544743782	7.657149436	7.256053146	7.766678101	9.044469371	8.457049984	8.124525584	8.067299508	8.64208768	8.055781891	8.643851152	8.121547339	7.466535153	7.904711131	7.784147394	8.504231059
hsa-miR-665|MIMAT0004952	9.032099256	9.037260809	9.001421944	9.500027818	9.936844478	9.248621707	8.988076823	9.038204461	9.296169108	9.220091131	8.434797918	9.012723078	9.019178819	9.171968382	8.559436477	9.464586209	9.543151048	9.496718375	9.380887219	9.058859104	9.456605496	9.130215937	9.367922951	9.014053995	10.1983085	9.082719049	9.063386816	8.855694746	9.291753694	9.074385373	8.975284976	9.558563656	8.901622414	9.524298507	9.056129685	9.822224005	9.401662914	9.327382212	9.096398141	8.492349907	9.180514432	9.257807009	9.222074388	9.288802571	9.346049833	9.003360983	9.219072077	9.080585949	8.960216405	9.129743603	9.616188891	9.668400231	8.813852674	9.550207364	8.839662153	8.715081032	8.85070615	9.121130727	9.366927246
