Entrez id	hsa-miR-1-3p	hsa-miR-30a-5p	hsa-miR-155-5p	hsa-miR-16-5p	hsa-let-7b-5p
4869	0.01058034	0.070369	-0.266641733	-0.318525617	0.143555537
57060	0.2364307	-0.351989789	0.093994063	-0.439961588	-0.894688497
51293	0.07608874	0.05454407	0.114790658	-0.151204144	-0.038004661
5475	-0.3681316	-0.01756309	0.33549128	0.227147404	0.781141569
57211	-0.2069993	0.237573119	-0.825944041	-0.725099068	-0.496523881
25839	-0.08733077	0.143884033	0.723755847	0.69005288	0.334503748
5970	0.02754269	0.1246204	-0.695298039	-0.094898643	-0.509905594
151254	0.04628005	0.099165134	-0.029278065	-0.09198212	-0.110096476
83450	0.05814242	-0.061875962	-0.054881033	-0.033995296	-0.166501749
79042	0.06940019	0.1177287	-0.101852561	0.582441977	-0.014058057
8821	0.6269124	-0.310102012	-0.63907762	-1.017477973	-0.898050362
4636	0.3041104	-0.334892323	0.136975752	-0.161559797	-0.075642483
8480	-0.04186829	-0.078511573	0.141293966	0.285228966	0.189673512
2199	0.1676179	-0.035216736	-0.115227861	-0.042060342	-0.169866117
2070	0.004494967	0.191720825	-0.479323821	0.121752329	0.597331547
54933	-0.1510674	-0.006836132	0.022628243	0.182236432	0.005217563
91768	-0.05004775	0.066733558	-0.310138802	0.386208447	-0.32409392
2549	-0.2168849	0.215497766	-0.209046304	0.050211297	-0.157098167
1789	0.18761	0.287588469	0.142430366	0.62284397	0.529994616
6603	-0.2029517	-0.258829418	0.331077138	0.428234864	-0.235539844
440026	0.03971562	-0.419565875	0.188112473	-0.0176909	0.29592923
728656	-0.1998291	0.098160126	-0.291111758	-0.252692933	-0.305986159
83988	-0.1942825	-0.055663272	-0.091153875	-0.16188793	-0.286650359
64089	0.1608391	-0.373662544	0.131324117	-0.357931387	0.092845463
2813	-0.1257757	-0.119423926	-0.140001339	-0.046535127	-0.156817691
60561	0.5142612	0.051772607	0.068430385	-0.104810673	0.469750774
126	-0.2662528	-0.016244596	0.071019348	-0.092797787	-0.147687485
84798	0.1088868	0.127733676	-0.047593769	-0.106479915	-0.32899693
