Gene id	Expr
7105	7.761062875
64102	2.701611963
8813	9.727289005
57147	4.120543423
55732	3.61779178
2268	3.326961508
3075	8.3469996
2519	8.800954177
2729	6.089751937
4800	4.603387652
90529	3.44621615
57185	6.85846133
81887	4.359519224
22875	3.405022867
6405	5.988997093
1080	2.812704828
54467	8.165291597
889	3.498671115
5893	3.439059856
572	7.348497924
51056	6.622571407
4267	9.18521092
9957	3.074070846
26	3.253482742
51384	2.753306343
23072	2.763506161
8379	5.475929925
3927	4.023691712
29916	4.886302776
55365	3.366143631
4074	9.645422508
90293	8.745858463
56603	3.33398577
3382	4.197220412
79007	3.735184468
252	3.690740455
843	2.940164126
8837	5.381807035
7035	11.08733166
55471	5.919586285
10181	8.461005502
9108	3.456583704
6542	8.627799481
381	8.567016145
23098	3.403269133
26073	7.499591114
23129	5.274644359
204	6.904666593
952	2.925872775
2288	8.147182372
23028	8.69194268
10180	5.526194935
11121	5.513136262
5965	8.070888788
55610	3.87339622
126393	2.874252069
115703	3.018955492
4706	11.37773046
5166	8.000478863
85413	3.281793795
51364	2.947456404
23458	2.916220806
170302	2.789055304
10165	7.720320089
7982	6.58218454
996	7.884121552
6521	2.964594501
799	3.130619521
3052	8.068224444
1856	5.441225679
64063	3.045007475
5976	5.276115595
8935	5.899676097
292	11.97668096
55013	5.419133515
3207	5.247992138
5439	9.822998122
4222	3.892774342
221981	3.192097084
3980	3.904391558
79657	6.528270939
6296	3.365135177
57019	6.064044999
56928	3.361928569
80256	4.559024935
51226	7.21478478
5577	2.995929553
10943	3.669358699
1387	5.681150949
9256	3.556466328
4353	3.325048053
5444	2.921248002
6936	5.204050445
84058	9.680421613
54677	3.463587345
5244	2.951027313
55904	6.005584607
57414	8.003117368
30812	3.190030192
25998	6.311150721
7748	6.841082427
23077	8.466902695
26224	7.309873316
3683	2.895563994
5164	3.473475393
3675	3.897099479
7543	4.146935394
3920	6.236447898
79893	7.76795494
3674	3.114854454
51666	3.357972539
51573	8.594762605
55049	7.035872558
9244	8.297430161
114881	3.076552635
26022	3.092120709
51087	3.366294276
3883	3.045637413
9020	3.58305372
6833	3.126588691
6362	2.894740013
6348	2.891735532
11276	3.412219781
10368	3.570856226
54972	5.189670245
163	8.343390877
6863	2.511712046
10127	6.122089301
6376	3.169910365
64847	3.66834238
8913	3.036243052
51330	8.370702196
1750	5.502183721
4293	2.984781961
5898	6.521495144
55971	6.094962773
80853	3.659347078
2115	3.811858984
55750	5.156917326
221	7.677371147
55001	2.976505096
57157	4.677068367
10344	3.423677511
9855	3.119213597
7394	6.533402617
79017	9.222372997
10926	5.664552641
6915	4.783003104
3475	9.466573554
56891	2.900801654
1352	4.15038639
9569	7.932800716
54623	6.787193688
27072	5.162069227
9912	3.606056976
60528	8.376874581
85477	2.903528975
414	3.425163001
8228	4.132464972
8735	3.001356412
79602	7.191103842
51265	3.01725348
151531	2.79493252
10942	9.895485525
57787	3.206732538
8842	3.379067117
115098	6.171227686
90273	3.19166465
5048	7.921196346
4843	3.479291016
1770	3.072711239
9703	8.318817726
9058	2.916852478
8522	2.92853697
79090	5.065801514
4145	3.191521256
1087	3.11060383
974	3.441141684
6329	3.025381092
54879	4.265446595
8277	3.110917711
5080	6.1644125
113000	4.472165566
64285	3.367374989
55692	7.024286954
9254	3.206907634
8938	3.259721617
115939	7.460780252
9091	3.993018536
7005	3.792451578
6401	2.883625259
55735	5.272530968
2328	2.723816089
29116	4.956401415
27035	3.111005767
1870	5.214443098
5689	11.53620822
6853	3.060963103
3720	5.054911397
6792	3.845567517
